Genus,Species,Transect,Day,Mo,Year,ampm,Time,sex,SVL,Mass
Oxybelis,brevirostris,Aguadulce,28,2,2007,,,1,60.7,27.3
Oxybelis,brevirostris,Aguadulce,27,3,2007,,10:03:00 PM,2,57.9,18.2
Imantodes,cenchoa,Aguadulce,27,3,2007,,10:20:00 PM,1,65.3,11.0
Bothriechis,schlegelii,Aguadulce,28,2,2007,,,2,24.9,4.8
Oxybelis,brevirostris,Cabin,24,10,2006,,8:20:00 PM,1,81.9,23.6
Oxyrhopus,petolarius,Cabin,23,7,2007,,,2,70.8,84.2
Sibon,argus,Cascada,22,5,2001,2,2030,0,27.0,1.6
Sibon,argus,Cascada,1,7,2001,2,2123,0,,
Oxybelis,brevirostris,Cascada,8,6,2001,,2210,0,,
Oxybelis,brevirostris,Cascada,15,6,2001,2,2242,0,,
Oxybelis,brevirostris,Cascada,25,6,2001,,2140,0,,
Oxybelis,brevirostris,Cascada,25,6,2001,,2242,0,,
Imantodes,cenchoa,Cascada,25,6,2001,,2145,0,,
Imantodes,cenchoa,Cascada,13,7,2001,,2103,0,,
Sibon,argus,Cascada,2,6,2002,2,2114,0,37.0,8.0
Sibon,argus,Cascada,17,6,2002,2,2040,0,,
Sibon,argus,Cascada,27,7,2002,,2228,0,,
Sibon,argus,Cascada,4,8,2002,2,2059,0,39.0,7.8
Geophis,bellus,Cascada,19,7,2002,2,2155,0,,
Oxybelis,brevirostris,Cascada,27,7,2002,,2208,0,37.5,8.5
Imantodes,cenchoa,Cascada,27,7,2002,,2222,0,,
Clelia,clelia,Cascada,29,6,2002,2,2258,0,,
Clelia,clelia,Cascada,27,7,2002,,2228,0,,
Rhadinaea,decorata,Cascada,1,6,2002,,1116,0,26.0,11.5
Rhadinaea,decorata,Cascada,3,8,2002,,1048,0,20.5,5.7
Sibon,argus,Cascada,20,5,2003,,2050,0,41.0,12.3
Sibon,argus,Cascada,10,6,2003,2,2058,1,18.2,
Sibon,argus,Cascada,7,7,2003,,1959,0,43.5,15.5
Sibon,argus,Cascada,7,7,2003,,2140,0,32.0,7.1
Sibon,argus,Cascada,28,9,2003,,2329,0,41.0,10.2
Sibon,argus,Cascada,19,10,2003,,2007,0,44.0,14.0
Oxybelis,brevirostris,Cascada,20,5,2003,,2137,0,32.0,
Oxybelis,brevirostris,Cascada,7,7,2003,,2140,0,37.0,7.4
Oxybelis,brevirostris,Cascada,7,7,2003,,2204,0,60.0,26.6
Imantodes,cenchoa,Cascada,25,5,2003,2,2035,1,79.0,35.1
Imantodes,cenchoa,Cascada,2,6,2003,,2000,0,79.0,32.8
Imantodes,cenchoa,Cascada,2,6,2003,,2305,2,82.0,28.4
Sibon,argus,Cascada,25,4,2004,,2246,0,35.5,
Sibon,argus,Cascada,19,5,2004,2,2036,2,43.5,
Oxybelis,brevirostris,Cascada,5,3,2004,2,2321,0,,
Oxybelis,brevirostris,Cascada,23,11,2004,,2124,0,,
Sibon,longifrenis,Cascada,25,4,2004,2,2139,2,43.0,
Sibon,nebulatus,Cascada,5,3,2004,2,1957,2,76.0,
Leptodeira,septentrionalis,Cascada,28,10,2004,,2120,0,82.0,
Rhadinaea,vermiculaticeps,Cascada,28,10,2004,,1328,0,23.0,
Oxybelis,brevirostris,Cascada,28,9,2006,2,8:00:00 PM,1,84.9,23.2
Oxybelis,brevirostris,Cascada,2,10,2006,2,8:-4:-59 PM,2,67.6,23.6
Oxybelis,brevirostris,Cascada,31,10,2006,2,8:21:00 PM,1,70.0,31.5
Imantodes,cenchoa,Cascada,11,11,2006,2,8:13:00 PM,2,31.9,2.6
Sibon,annulatus,Cascada,9,2,2007,2,8:28:00 PM,0,,
Bothriechis,schlegelii,Cascada,28,1,2007,2,8:15:00 PM,2,34.8,15.4
Leptodeira,septentrionalis,Cascada,8,4,2007,2,9:-23:-59 PM,2,48.0,23.4
Sibon,argus,Cascada,22,8,2008,2,9:-22:-59 PM,1,43.7,8.3
Oxyrhopus,petolarius,Cascada,18,7,2011,2,,1,50.9,33.5
Sibon,argus,Cascada,8,6,2012,2,2103,0,39.0,6.4
Sibon,argus,Cascada,11,7,2012,2,2057,0,,
Dipsas,sp.,Cascada,8,6,2012,2,2119,0,26.0,2.1
Rhadinaea,decorata,Connector trail,24,5,2000,,1011,0,16.0,2.1
Sibon,nebulatus,Cutoff,5,11,2006,,10:-2:-59 PM,1,49.0,24.1
Sibon,annulatus,Cutoff,4,5,2007,,8:27:00 PM,2,,13.2
Sibon,annulatus,Cutoff,18,5,2007,,9:09:00 PM,2,33.9,4.2
Oxybelis,brevirostris,Cutoff,18,1,2007,,8:-23:-59 PM,1,60.1,18.5
Oxybelis,brevirostris,Cutoff,23,1,2007,,9:00:00 PM,1,60.1,18.5
Oxybelis,brevirostris,Cutoff,5,2,2007,,8:-15:-59 PM,2,67.0,25.5
Oxybelis,brevirostris,Cutoff,6,2,2007,,8:-7:-59 PM,1,59.6,17.8
Oxybelis,brevirostris,Cutoff,18,5,2007,,9:-22:-59 PM,2,60.0,17.9
Oxybelis,brevirostris,Cutoff,12,8,2007,,10:17:00 PM,2,27.8,2.8
Imantodes,cenchoa,Cutoff,1,1,2007,,8:-28:-59 PM,2,69.4,10.8
Imantodes,cenchoa,Cutoff,6,4,2007,,9:-27:-59 PM,2,45.4,5.5
Imantodes,cenchoa,Cutoff,29,7,2007,,8:04:00 PM,1,73.9,14.6
Imantodes,cenchoa,Cutoff,4,8,2007,,8:11:00 PM,2,65.6,16.5
Imantodes,inornatus,Cutoff,14,3,2007,,10:-11:-59 PM,2,55.7,20.9
Bothriechis,schlegelii,Cutoff,18,2,2007,,9:-28:-59 PM,2,19.9,0.9
Leptodeira,septentrionalis,Cutoff,4,1,2007,,8:12:00 PM,2,40.9,14.4
Leptodeira,septentrionalis,Cutoff,7,4,2007,,9:-17:-59 PM,2,38.8,13.0
Dipsas,sp.,Cutoff,10,1,2007,,8:09:00 PM,1,43.2,11.6
Dipsas,sp.,Cutoff,12,7,2007,,9:-1:-59 PM,1,43.6,9.6
Dipsas,sp.,Cutoff,18,11,2007,,,1,23.3,2.3
Dipsas,sp.,Cutoff,18,11,2007,,,2,20.9,2.4
Sibon,annulatus,Cutoff,16,8,2008,,9:01:00 PM,1,39.9,5.4
Sibon,annulatus,Cutoff,16,8,2008,,10:-17:-59 PM,2,34.1,4.2
Sibon,annulatus,Cutoff,25,8,2008,,9:28:00 PM,2,34.6,4.1
Sibon,argus,Cutoff,8,6,2008,,9:-25:-59 PM,2,44.2,9.9
Sibon,argus,Cutoff,19,7,2008,,11:17:00 PM,2,38.7,9.4
Imantodes,cenchoa,Cutoff,21,9,2008,,9:13:00 PM,1,69.8,15.6
Clelia,clelia,Cutoff,16,8,2008,,9:20:00 PM,0,,
Sibon,annulatus,Cutoff,8,6,2009,,8:28:00 PM,1,40.4,7.3
Imantodes,cenchoa,Cutoff,21,9,2009,,9:21:00 PM,1,65.9,12.7
Sibon,annulatus,Fenomenal,26,7,2000,,2230,0,,
Sibon,annulatus,Fenomenal,6,8,2000,,2151,0,27.0,2.7
Leptophis,depressirostris,Fenomenal,6,8,2000,,2045,0,,
Leptophis,depressirostris,Fenomenal,6,8,2000,,2138,0,34.5,4.0
Leptophis,ahaetulla,Guabal,25,11,1998,,2105,0,,
Sibon,annulatus,Guabal,7,6,1998,,2120,0,100.0,
Sibon,annulatus,Guabal,27,11,1998,,2105,0,,
Sibon,argus,Guabal,14,1,1998,,,0,10.0,
Sibon,argus,Guabal,14,1,1998,,,0,,
Sibon,argus,Guabal,14,1,1998,,2122,0,,
Sibon,argus,Guabal,15,1,1998,,2115,0,,
Sibon,argus,Guabal,7,6,1998,,,0,,
Sibon,argus,Guabal,7,6,1998,,,0,,
Sibon,argus,Guabal,7,6,1998,,,0,,
Sibon,argus,Guabal,23,11,1998,,2010,0,,
Sibon,argus,Guabal,27,11,1998,,2030,0,,
Oxybelis,brevirostris,Guabal,14,1,1998,,2105,0,,
Imantodes,cenchoa,Guabal,25,11,1998,,2142,0,,
Liophis,epinephalus,Guabal,25,11,1998,,943,0,,
Chironius,grandisquamis,Guabal,23,6,1998,,1007,0,150.0,
Dendrophidion,percarinatum,Guabal,23,6,1998,,835,0,,
Dendrophidion,percarinatum,Guabal,24,6,1998,,955,0,,
Dendrophidion,percarinatum,Guabal,24,6,1998,,,0,,
Sibon,argus,Guabal,11,7,1999,,1957,0,,
Sibon,argus,Guabal,11,7,1999,,2149,0,,
Imantodes,cenchoa,Guabal,11,7,1999,,2123,0,,
Pliocercus,euryzona,Guabal,15,7,1999,,2121,0,,
Bothriechis,schlegelii,Guabal,28,7,1999,1,1155,0,,
Leptophis,ahaetulla,Guabal,13,8,2000,1,,1,71.0,
Sibon,argus,Guabal,18,5,2000,,2004,1,42.5,10.1
Sibon,argus,Guabal,29,5,2000,,2044,1,40.0,9.5
Sibon,argus,Guabal,29,5,2000,,2152,0,,
Sibon,argus,Guabal,24,7,2000,,2124,0,27.0,2.8
Sibon,argus,Guabal,24,7,2000,,2205,0,38.5,10.1
Sibon,argus,Guabal,4,8,2000,,2145,0,39.5,15.5
Imantodes,cenchoa,Guabal,4,8,2000,,2120,0,,
Rhadinaea,decorata,Guabal,1,8,2000,1,1100,0,,
Sibon,annulatus,Guabal,12,7,2001,,2120,0,20.0,
Sibon,argus,Guabal,6,6,2001,,2100,0,,
Sibon,argus,Guabal,6,6,2001,,2155,0,29.5,4.5
Sibon,argus,Guabal,11,6,2001,2,2335,0,,
Sibon,argus,Guabal,19,6,2001,,2032,0,18.0,
Sibon,argus,Guabal,19,6,2001,,2121,1,41.0,
Sibon,argus,Guabal,19,6,2001,,1253,0,19.0,
Sibon,argus,Guabal,19,6,2001,,2215,1,15.0,
Sibon,argus,Guabal,19,6,2001,,2239,2,40.0,
Oxybelis,brevirostris,Guabal,19,6,2001,,2025,0,,
Imantodes,cenchoa,Guabal,19,6,2001,,2056,2,70.0,18.3
Sibon,argus,Guabal,3,6,2002,2,2140,0,,
Sibon,argus,Guabal,9,6,2002,,2120,0,29.0,5.5
Sibon,argus,Guabal,9,6,2002,,2127,0,41.0,13.7
Sibon,argus,Guabal,15,6,2002,,2053,0,,
Sibon,argus,Guabal,15,6,2002,,2118,0,46.0,15.1
Sibon,argus,Guabal,4,7,2002,,2050,0,42.0,12.5
Sibon,argus,Guabal,6,8,2002,,2006,0,39.0,12.5
Oxybelis,brevirostris,Guabal,9,6,2002,,2018,0,38.0,
Oxybelis,brevirostris,Guabal,22,6,2002,2,2022,0,,
Oxybelis,brevirostris,Guabal,6,8,2002,,2200,0,,
Imantodes,cenchoa,Guabal,15,6,2002,,2140,0,78.0,39.6
Leptodeira,septentrionalis,Guabal,4,7,2002,,2122,0,21.0,3.5
Dipsas,sp.,Guabal,30,7,2002,,2046,0,19.0,2.0
Sibon,argus,Guabal,31,5,2003,2,2008,0,19.0,
Sibon,argus,Guabal,14,7,2003,,2150,0,35.0,9.9
Sibon,argus,Guabal,20,7,2003,,2030,0,39.0,9.8
Sibon,argus,Guabal,20,7,2003,,2145,0,,
Sibon,argus,Guabal,20,7,2003,,2152,0,44.0,13.3
Sibon,argus,Guabal,30,7,2003,,2100,0,20.0,
Sibon,argus,Guabal,30,7,2003,,2135,0,32.0,9.5
Sibon,argus,Guabal,27,9,2003,,2300,0,21.8,1.7
Sibon,argus,Guabal,20,10,2003,,2138,0,41.0,10.8
Sibon,argus,Guabal,20,10,2003,,2131,0,26.0,
Sibon,argus,Guabal,3,11,2003,,2059,0,39.0,9.0
Chironius,grandisquamis,Guabal,18,5,2003,2,2127,0,,
Chironius,grandisquamis,Guabal,30,7,2003,,2110,0,,
Sibon,longifrenis,Guabal,7,6,2003,2,2155,0,34.0,8.2
Leptodeira,septentrionalis,Guabal,3,11,2003,,2234,0,29.0,2.8
Dipsas,sp.,Guabal,26,5,2003,,2030,1,28.0,6.4
Dipsas,sp.,Guabal,14,7,2003,,2007,0,27.5,4.8
Dipsas,sp.,Guabal,27,9,2003,,2036,0,32.0,5.0
Dipsas,sp.,Guabal,20,10,2003,,2156,0,22.0,2.4
Dipsas,sp.,Guabal,3,11,2003,,2034,0,31.0,4.8
Micrurus,stewarti,Guabal,30,7,2003,,2122,0,,
Rhadinaea,vermiculaticeps,Guabal,25,5,2003,1,1047,0,24.0,10.2
Sibon,argus,Guabal,7,6,2004,,2019,0,,
Sibon,argus,Guabal,7,6,2004,,2153,0,28.0,
Sibon,argus,Guabal,3,7,2004,2,2200,0,,
Sibon,argus,Guabal,21,8,2004,,2243,0,34.5,
Sibon,argus,Guabal,23,10,2004,,2235,0,34.5,
Sibon,argus,Guabal,6,11,2004,,2128,0,,
Bothrops,asper,Guabal,11,11,2004,,1958,0,,
Bothrops,asper,Guabal,19,11,2004,,2107,0,,
Bothrops,asper,Guabal,17,12,2004,,1132,0,,
Oxybelis,brevirostris,Guabal,17,5,2004,,2116,0,,
Oxybelis,brevirostris,Guabal,25,9,2004,,2129,0,73.0,
Oxybelis,brevirostris,Guabal,25,9,2004,,2129,0,73.0,
Oxybelis,brevirostris,Guabal,11,11,2004,,2121,0,,
Ninia,maculata,Guabal,21,8,2004,,2306,0,,
Sibon,nebulatus,Guabal,10,2,2004,,2139,0,31.0,9.2
Sibon,nebulatus,Guabal,24,4,2004,2,2021,0,,
Sibon,nebulatus,Guabal,17,5,2004,,2234,0,48.0,
Leptodeira,septentrionalis,Guabal,17,5,2004,,2058,0,56.0,33.6
Dipsas,sp.,Guabal,10,2,2004,,2014,0,50.0,14.4
Dipsas,sp.,Guabal,6,3,2004,2,2054,0,34.0,
Dipsas,sp.,Guabal,23,10,2004,,2103,0,16.0,
Sibon,argus,Guabal,15,9,2006,2,9:04:00 PM,1,26.6,2.8
Sibon,argus,Guabal,7,12,2006,2,9:-17:-59 PM,2,42.5,12.3
Oxybelis,brevirostris,Guabal,12,10,2006,1,8:-5:-59 PM,2,66.4,26.9
Oxybelis,brevirostris,Guabal,11,11,2006,2,9:12:00 PM,2,66.0,28.8
Oxybelis,brevirostris,Guabal,13,11,2006,2,8:00:-59 PM,2,67.3,29.9
Oxybelis,brevirostris,Guabal,13,11,2006,2,8:-17:-59 PM,2,63.8,22.6
Oxybelis,brevirostris,Guabal,5,12,2006,,9:-9:-59 PM,2,64.3,24.2
Oxybelis,brevirostris,Guabal,7,12,2006,2,8:27:00 PM,2,64.3,24.2
Oxybelis,brevirostris,Guabal,30,12,2006,2,9:01:00 PM,2,64.3,23.3
Imantodes,cenchoa,Guabal,28,9,2006,2,9:-9:-59 PM,1,82.3,24.5
Imantodes,cenchoa,Guabal,1,11,2006,2,9:-26:-59 PM,1,77.0,17.9
Bothriechis,schlegelii,Guabal,2,10,2006,2,8:25:00 PM,2,16.9,3.0
Dipsas,sp.,Guabal,25,9,2006,2,8:02:00 PM,2,21.0,2.0
Dipsas,sp.,Guabal,13,11,2006,2,8:-4:-59 PM,2,20.3,2.1
Sibon,annulatus,Guabal,10,1,2007,,9:00:00 PM,2,18.2,1.1
Sibon,annulatus,Guabal,20,2,2007,2,9:-6:-59 PM,2,36.3,
Sibon,annulatus,Guabal,20,2,2007,2,8:26:00 PM,1,39.6,6.8
Sibon,annulatus,Guabal,26,3,2007,2,10:-11:-59 PM,2,21.0,1.4
Sibon,annulatus,Guabal,8,4,2007,2,9:11:00 PM,2,36.3,6.4
Sibon,annulatus,Guabal,8,4,2007,2,9:-13:-59 PM,2,22.4,1.7
Sibon,annulatus,Guabal,6,5,2007,2,9:-11:-59 PM,2,21.6,1.0
Sibon,annulatus,Guabal,13,7,2007,,9:14:00 PM,2,36.1,6.4
Sibon,annulatus,Guabal,12,8,2007,,10:-29:-59 PM,2,35.4,5.4
Sibon,annulatus,Guabal,13,8,2007,,10:-29:-59 PM,2,34.2,4.0
Sibon,argus,Guabal,16,1,2007,2,9:-12:-59 PM,2,28.1,3.9
Sibon,argus,Guabal,7,2,2007,2,9:-18:-59 PM,2,36.4,7.1
Sibon,argus,Guabal,8,4,2007,2,9:-8:-59 PM,1,31.0,5.0
Sibon,argus,Guabal,22,5,2007,2,10:-29:-59 PM,1,31.3,4.6
Sibon,argus,Guabal,6,8,2007,2,9:07:00 PM,1,32.2,5.1
Bothrops,asper,Guabal,19,8,2007,,10:-14:-59 PM,0,,
Oxybelis,brevirostris,Guabal,10,1,2007,,10:-4:-59 PM,2,65.4,23.8
Imantodes,cenchoa,Guabal,7,2,2007,2,9:-3:-59 PM,1,77.6,19.6
Imantodes,cenchoa,Guabal,26,3,2007,2,9:05:00 PM,2,69.4,21.9
Imantodes,inornatus,Guabal,12,8,2007,,8:09:00 PM,1,63.3,15.2
Leptophis,nebulosus,Guabal,20,1,2007,2,8:25:00 PM,2,41.0,10.9
Bothriechis,schlegelii,Guabal,10,1,2007,,10:-2:-59 PM,1,29.0,8.4
Dipsas,sp.,Guabal,10,1,2007,,10:-19:-59 PM,1,21.6,2.3
Dipsas,sp.,Guabal,20,1,2007,2,7:16:00 PM,2,25.5,3.2
Dipsas,sp.,Guabal,20,1,2007,2,9:-19:-59 PM,2,20.3,1.9
Dipsas,sp.,Guabal,20,1,2007,2,9:-12:-59 PM,1,24.9,2.7
Dipsas,sp.,Guabal,6,5,2007,2,9:08:00 PM,1,26.1,2.1
Sibon,annulatus,Guabal,16,6,2008,2,8:21:00 PM,2,28.0,2.6
Sibon,annulatus,Guabal,26,8,2008,2,9:03:00 PM,1,28.5,2.2
Sibon,argus,Guabal,20,8,2008,2,8:00:00 PM,2,43.4,12.3
Sibon,argus,Guabal,20,8,2008,2,9:-9:-59 PM,2,41.4,10.5
Imantodes,cenchoa,Guabal,20,8,2008,2,9:-22:-59 PM,1,68.6,15.2
Imantodes,cenchoa,Guabal,20,8,2008,2,9:04:00 PM,1,79.6,21.8
Sibon,argus,Guabal,13,7,2010,2,2055,0,,4.5
Sibon,argus,Guabal,17,7,2011,2,2024,0,46.2,14.8
Sibon,argus,Guabal,18,7,2011,2,2042,0,45.6,17.0
Sibon,argus,Guabal,16,7,2012,2,2024,0,,
Oxybelis,brevirostris,Guabal,4,6,2012,2,950,0,31.2,4.6
Imantodes,cenchoa,Guabal,3,6,2012,2,2137,0,40.4,3.8
Dipsas,sp.,Guabal,3,6,2012,2,2133,0,,
Sibon,argus,Loop Stream,26,6,1998,,2140,0,,
Sibon,annulatus,Loop Stream,14,7,1999,,2221,0,50.0,25.0
Sibon,argus,Loop Stream,24,7,1999,,2038,0,46.0,13.0
Sibon,argus,Loop Stream,4,8,1999,,2132,0,,8.0
Imantodes,cenchoa,Loop Stream,4,8,1999,,2150,0,73.0,19.0
Rhadinaea,decorata,Loop Stream,10,7,1999,,1016,0,,
Rhadinaea,decorata,Loop Stream,14,7,1999,,1012,0,24.5,7.8
Leptophis,depressirostris,Loop Stream,10,7,1999,,1030,0,,
Leptophis,depressirostris,Loop Stream,14,7,1999,2,2157,0,,
Sibon,argus,Loop Stream,1,6,2000,,2132,0,,
Sibon,argus,Loop Stream,9,8,2000,,2115,0,36.0,6.5
Leptophis,depressirostris,Loop Stream,29,7,2000,2,2256,0,,
Leptophis,depressirostris,Loop Stream,9,8,2000,,1955,0,,
Sibon,annulatus,Loop Stream,20,6,2001,,2022,1,34.5,
Sibon,argus,Loop Stream,18,5,2001,,2050,0,33.0,11.8
Sibon,argus,Loop Stream,18,5,2001,,2253,0,36.0,14.3
Sibon,argus,Loop Stream,28,5,2001,,2115,0,25.0,
Sibon,argus,Loop Stream,12,6,2001,2,2203,0,37.0,
Sibon,argus,Loop Stream,4,7,2001,,2105,0,,
Sibon,argus,Loop Stream,15,7,2001,2,2200,2,25.0,
Oxybelis,brevirostris,Loop Stream,20,6,2001,,2101,0,,
Oxybelis,brevirostris,Loop Stream,28,6,2001,2,2225,0,,
Imantodes,cenchoa,Loop Stream,28,5,2001,,2030,0,70.0,14.7
Imantodes,cenchoa,Loop Stream,20,6,2001,,2245,2,70.0,
Sibon,argus,Loop Stream,28,6,2002,,2310,0,39.0,9.3
Sibon,argus,Loop Stream,10,7,2002,2,2200,0,28.0,5.9
Sibon,argus,Loop Stream,24,7,2002,,2122,0,,
Oxybelis,brevirostris,Loop Stream,13,6,2002,2,2138,0,63.0,27.2
Oxybelis,brevirostris,Loop Stream,28,6,2002,,2255,0,64.0,27.3
Oxybelis,brevirostris,Loop Stream,20,7,2002,,2116,0,,
Oxybelis,brevirostris,Loop Stream,24,7,2002,,2250,0,,
Imantodes,cenchoa,Loop Stream,24,7,2002,,2142,0,77.0,21.0
Imantodes,cenchoa,Loop Stream,24,7,2002,,2252,1,75.0,26.5
Rhadinaea,decorata,Loop Stream,20,6,2002,2,1020,0,24.0,8.5
Rhadinaea,decorata,Loop Stream,28,6,2002,,2123,0,26.0,8.5
Leptodeira,septentrionalis,Loop Stream,24,7,2002,,2049,0,19.5,3.3
Leptodeira,septentrionalis,Loop Stream,24,7,2002,,2110,0,47.0,26.0
Sibon,argus,Loop Stream,11,6,2003,,2045,0,40.0,10.8
Sibon,argus,Loop Stream,11,6,2003,,2302,0,35.0,7.8
Sibon,argus,Loop Stream,9,7,2003,,2055,0,,
Sibon,argus,Loop Stream,9,7,2003,,2105,0,42.0,11.4
Sibon,argus,Loop Stream,9,7,2003,,2230,0,30.0,4.4
Sibon,argus,Loop Stream,17,7,2003,,2055,0,22.0,
Sibon,argus,Loop Stream,26,9,2003,,2204,0,20.0,3.0
Sibon,argus,Loop Stream,18,10,2003,,2206,0,38.0,
Sibon,argus,Loop Stream,9,11,2003,,2103,0,43.5,14.0
Sibon,argus,Loop Stream,9,11,2003,,2111,0,40.5,13.0
Sibon,argus,Loop Stream,11,12,2003,,2206,0,42.5,17.0
Oxybelis,brevirostris,Loop Stream,3,6,2003,2,2220,0,36.0,9.4
Oxybelis,brevirostris,Loop Stream,11,6,2003,,2256,0,38.0,8.8
Oxybelis,brevirostris,Loop Stream,9,7,2003,,2242,0,42.0,9.9
Oxybelis,brevirostris,Loop Stream,31,7,2003,,2145,0,60.0,22.3
Oxybelis,brevirostris,Loop Stream,26,9,2003,,2318,0,10.0,10.0
Oxybelis,brevirostris,Loop Stream,11,12,2003,,2321,0,,
Imantodes,cenchoa,Loop Stream,11,6,2003,,2109,0,71.0,24.3
Imantodes,cenchoa,Loop Stream,31,7,2003,,2135,0,75.0,
Imantodes,cenchoa,Loop Stream,18,10,2003,,2053,0,77.0,
Drymobius,rhombifer,Loop Stream,21,5,2003,2,2240,0,,
Dipsas,sp.,Loop Stream,9,7,2003,,2225,0,23.5,2.8
Dipsas,sp.,Loop Stream,17,7,2003,,2105,0,,
Rhadinaea,vermiculaticeps,Loop Stream,27,7,2003,,925,0,19.0,6.4
Sibon,argus,Loop Stream,1,7,2004,,2053,0,43.5,14.0
Sibon,argus,Loop Stream,20,8,2004,,2300,0,42.0,17.0
Sibon,argus,Loop Stream,20,8,2004,,2030,0,14.9,
Sibon,argus,Loop Stream,27,9,2004,,2156,0,,
Sibon,argus,Loop Stream,27,9,2004,,2108,0,32.5,
Sibon,argus,Loop Stream,16,10,2004,,2209,0,35.5,
Sibon,argus,Loop Stream,16,10,2004,,2215,0,35.5,
Sibon,argus,Loop Stream,25,10,2004,,2031,0,26.5,
