Genus,Species,Transect,Day,Mo,Year,ampm,Time,sex,SVL,Mass
Sibon,argus,Loop Stream,16,12,2004,,2033,0,,
Oxybelis,brevirostris,Loop Stream,27,9,2004,,2221,0,43.5,
Oxybelis,brevirostris,Loop Stream,25,10,2004,,2158,0,,
Oxybelis,brevirostris,Loop Stream,15,11,2004,,2052,0,,
Oxybelis,brevirostris,Loop Stream,16,12,2004,,2028,0,,
Imantodes,cenchoa,Loop Stream,20,8,2004,,2103,0,74.5,
Imantodes,cenchoa,Loop Stream,16,10,2004,,2020,0,73.5,16.5
Imantodes,cenchoa,Loop Stream,16,10,2004,,2127,0,90.0,
Hydromorphus,concolor,Loop Stream,20,8,2004,,2210,0,,
Leptodeira,septentrionalis,Loop Stream,9,6,2004,2,2132,0,79.0,
Leptodeira,septentrionalis,Loop Stream,20,8,2004,,2055,1,40.0,
Leptodeira,septentrionalis,Loop Stream,20,8,2004,,2100,0,38.4,
Sibon,argus,Loop Stream,12,11,2006,2,10:-15:-59 PM,2,35.8,8.2
Sibon,argus,Loop Stream,15,12,2006,2,10:-4:-59 PM,1,43.8,10.4
Oxybelis,brevirostris,Loop Stream,21,9,2006,2,9:13:00 PM,1,52.6,12.8
Oxybelis,brevirostris,Loop Stream,30,9,2006,1,10:-11:-59 PM,1,64.9,23.6
Oxybelis,brevirostris,Loop Stream,4,10,2006,2,11:-15:-59 PM,2,67.7,24.7
Oxybelis,brevirostris,Loop Stream,4,10,2006,2,10:24:00 PM,1,52.6,12.7
Oxybelis,brevirostris,Loop Stream,12,12,2006,2,8:-11:-59 PM,2,53.2,11.4
Oxybelis,brevirostris,Loop Stream,15,12,2006,2,10:21:00 PM,2,68.1,23.9
Imantodes,cenchoa,Loop Stream,12,12,2006,2,8:-1:-59 PM,2,59.0,13.0
Bothriechis,schlegelii,Loop Stream,3,10,2006,2,11:-12:-59 PM,1,22.5,3.3
Bothriechis,schlegelii,Loop Stream,5,10,2006,1,9:-7:-59 PM,2,29.7,7.9
Sibon,annulatus,Loop Stream,12,3,2007,2,9:-11:-59 PM,1,40.6,6.4
Sibon,annulatus,Loop Stream,12,3,2007,2,9:-18:-59 PM,1,37.3,5.4
Sibon,annulatus,Loop Stream,27,3,2007,2,10:-20:-59 PM,1,40.6,6.6
Sibon,annulatus,Loop Stream,23,4,2007,2,9:00:-59 PM,1,40.3,6.2
Sibon,annulatus,Loop Stream,23,4,2007,2,9:-8:-59 PM,2,38.2,8.4
Sibon,annulatus,Loop Stream,8,5,2007,2,9:-13:-59 PM,1,40.3,5.5
Sibon,argus,Loop Stream,13,5,2007,2,8:18:00 PM,2,38.8,8.7
Sibon,argus,Loop Stream,13,5,2007,2,8:18:00 PM,1,44.1,8.2
Sibon,argus,Loop Stream,7,7,2007,2,8:22:00 PM,2,38.7,9.4
Sibon,argus,Loop Stream,10,7,2007,2,9:-7:-59 PM,1,44.5,8.6
Sibon,argus,Loop Stream,4,8,2007,2,8:26:00 PM,2,41.7,10.7
Sibon,argus,Loop Stream,13,8,2007,2,10:-5:-59 PM,1,34.4,4.6
Sibon,argus,Loop Stream,22,8,2007,2,,2,36.8,9.4
Oxybelis,brevirostris,Loop Stream,3,1,2007,2,9:-7:-59 PM,2,68.1,29.1
Oxybelis,brevirostris,Loop Stream,3,1,2007,2,9:04:00 PM,2,68.1,24.1
Oxybelis,brevirostris,Loop Stream,12,1,2007,2,10:28:00 PM,2,68.1,24.3
Oxybelis,brevirostris,Loop Stream,17,1,2007,2,10:09:00 PM,2,58.0,18.9
Oxybelis,brevirostris,Loop Stream,22,1,2007,2,10:-19:-59 PM,2,68.1,24.0
Oxybelis,brevirostris,Loop Stream,29,1,2007,2,10:-1:-59 PM,2,58.0,18.0
Oxybelis,brevirostris,Loop Stream,17,2,2007,2,9:18:00 PM,2,67.0,25.8
Oxybelis,brevirostris,Loop Stream,23,2,2007,2,10:-6:-59 PM,2,70.1,32.9
Oxybelis,brevirostris,Loop Stream,23,2,2007,2,10:00:-59 PM,2,58.0,17.9
Oxybelis,brevirostris,Loop Stream,26,2,2007,,9:14:00 PM,2,54.0,11.9
Oxybelis,brevirostris,Loop Stream,2,3,2007,2,9:12:00 PM,2,70.1,32.6
Oxybelis,brevirostris,Loop Stream,2,3,2007,2,9:05:00 PM,2,58.0,17.4
Oxybelis,brevirostris,Loop Stream,9,3,2007,2,9:24:00 PM,1,69.8,22.4
Oxybelis,brevirostris,Loop Stream,9,3,2007,2,11:-22:-59 PM,2,60.5,14.3
Oxybelis,brevirostris,Loop Stream,8,4,2007,,9:01:00 PM,1,64.2,17.9
Oxybelis,brevirostris,Loop Stream,23,4,2007,2,9:-20:-59 PM,1,64.2,18.7
Oxybelis,brevirostris,Loop Stream,10,7,2007,,9:11:00 PM,1,67.8,20.3
Oxybelis,brevirostris,Loop Stream,10,7,2007,,9:17:00 PM,2,59.1,17.0
Oxybelis,brevirostris,Loop Stream,20,7,2007,,9:-26:-59 PM,2,59.1,16.5
Oxybelis,brevirostris,Loop Stream,30,7,2007,,9:-6:-59 PM,1,63.4,20.6
Oxybelis,brevirostris,Loop Stream,22,8,2007,,,2,59.1,15.9
Imantodes,cenchoa,Loop Stream,19,1,2007,2,10:-18:-59 PM,1,55.3,7.4
Imantodes,cenchoa,Loop Stream,29,1,2007,2,10:-12:-59 PM,2,58.5,11.1
Imantodes,cenchoa,Loop Stream,17,2,2007,2,9:24:00 PM,2,79.7,26.6
Imantodes,cenchoa,Loop Stream,23,3,2007,,10:-19:-59 PM,1,76.7,20.8
Imantodes,cenchoa,Loop Stream,2,4,2007,2,10:-26:-59 PM,2,59.3,12.3
Imantodes,cenchoa,Loop Stream,23,4,2007,2,9:15:00 PM,2,80.0,27.8
Imantodes,cenchoa,Loop Stream,4,5,2007,2,11:07:00 PM,2,59.3,12.3
Imantodes,cenchoa,Loop Stream,13,5,2007,,11:-22:-59 PM,2,74.1,25.0
Imantodes,inornatus,Loop Stream,17,1,2007,2,10:-26:-59 PM,2,63.7,16.3
Imantodes,inornatus,Loop Stream,9,3,2007,2,10:-15:-59 PM,1,63.3,17.2
Sibon,nebulatus,Loop Stream,27,3,2007,2,10:-23:-59 PM,2,32.9,8.4
Oxyrhopus,petolarius,Loop Stream,16,7,2007,,10:09:00 PM,2,28.9,7.2
Bothriechis,schlegelii,Loop Stream,13,5,2007,,10:20:00 PM,1,40.1,15.4
Bothriechis,schlegelii,Loop Stream,4,8,2007,,8:26:00 PM,2,37.0,13.1
Bothriechis,schlegelii,Loop Stream,23,3,2007,,10:-28:-59 PM,1,18.3,2.1
Dipsas,sp.,Loop Stream,19,1,2007,2,9:26:00 PM,1,38.8,8.0
Dipsas,sp.,Loop Stream,20,1,2007,2,11:-19:-59 PM,2,28.1,5.1
Dipsas,sp.,Loop Stream,17,2,2007,2,9:29:00 PM,2,19.4,1.8
Dipsas,sp.,Loop Stream,23,2,2007,2,10:-17:-59 PM,2,19.4,1.8
Dipsas,sp.,Loop Stream,2,3,2007,2,9:21:00 PM,1,35.2,5.9
Dipsas,sp.,Loop Stream,2,3,2007,2,9:27:00 PM,2,28.2,4.7
Sibon,nebulatus,Loop Stream,17,7,2008,2,9:18:00 PM,1,47.1,21.7
Dipsas,sp.,Loop Stream,3,6,2008,2,8:-8:-59 PM,2,44.6,18.0
Dipsas,sp.,Loop Stream,10,6,2008,2,10:-17:-59 PM,2,39.9,15.3
Dipsas,sp.,Loop Stream,18,6,2008,2,9:18:00 PM,1,19.9,1.3
Dipsas,sp.,Loop Stream,28,7,2008,2,10:-21:-59 PM,2,20.8,1.6
Dipsas,sp.,Loop Stream,29,7,2008,,10:-20:-59 PM,1,22.0,1.6
Sibon,argus,Loop Stream,14,7,2010,2,2038,0,43.0,16.0
Sibon,argus,Loop Stream,17,7,2010,2,2055,0,31.0,4.5
Leptodeira,septentrionalis,Loop Stream,17,7,2010,2,2245,0,,
Sibon,argus,Loop Stream,13,7,2011,2,2054,0,34.2,5.0
Sibon,argus,Loop Stream,14,7,2011,2,2100,0,38.8,5.0
Sibon,argus,Loop Stream,15,7,2011,2,2102,0,20.6,8.0
Imantodes,cenchoa,Loop Stream,13,7,2011,2,2032,0,34.2,11.0
Dipsas,sp.,Loop Stream,13,7,2011,2,2019,0,49.0,17.0
Sibon,annulatus,Loop Stream,9,6,2012,2,2227,0,26.0,3.3
Sibon,argus,Loop Stream,9,6,2012,2,2245,0,39.0,6.8
Oxybelis,brevirostris,Loop Stream,9,6,2012,2,2035,0,29.3,2.4
Imantodes,cenchoa,Loop Stream,29,6,2012,2,2011,0,,
Bothriechis,schlegelii,Loop Stream,10,6,2012,,1943,0,,
Bothriechis,schlegelii,Loop Stream,13,6,2012,2,1926,0,,
Bothriechis,schlegelii,Loop Stream,18,6,2012,1,1040,0,,
Bothriechis,schlegelii,Loop Stream,27,6,2012,2,2051,0,,
Bothriechis,schlegelii,Loop Stream,28,6,2012,2,2051,0,,
Bothriechis,schlegelii,Loop Stream,29,6,2012,2,1917,0,,
Leptodeira,septentrionalis,Loop Stream Strangler,24,7,2007,,,1,56.8,31.2
Oxybelis,brevirostris,Loop Stream up,23,7,2007,,,2,63.7,21.4
Sibon,annulatus,Loop Trail,9,7,1999,2,2100,0,,
Leptophis,depressirostris,Loop Trail,5,8,1999,,2115,0,64.0,22.5
Chironius,grandisquamis,Loop Trail,25,7,1999,,936,0,100.0,
Imantodes,cenchoa,Loop Trail,5,8,2000,2,2022,0,58.0,12.3
Imantodes,cenchoa,Loop Trail,5,8,2000,2,2235,0,72.0,13.3
Sibon,longifrenis,Loop Trail,28,5,2000,,2049,2,,
Oxybelis,brevirostris,Loop Trail,27,5,2001,,2057,0,33.0,
Oxybelis,brevirostris,Loop Trail,13,6,2001,2,2026,0,63.0,26.9
Imantodes,cenchoa,Loop Trail,3,6,2001,2,2046,0,45.0,7.8
Oxybelis,brevirostris,Loop Trail,10,6,2002,,2006,0,66.0,60.2
Oxybelis,brevirostris,Loop Trail,3,7,2002,,,0,,
Oxybelis,brevirostris,Loop Trail,12,7,2002,,2058,0,58.0,
Oxybelis,brevirostris,Loop Trail,12,7,2002,,2158,0,74.0,41.5
Oxybelis,brevirostris,Loop Trail,12,7,2002,,,0,35.0,6.5
Oxybelis,brevirostris,Loop Trail,2,8,2002,,2124,0,,
Imantodes,cenchoa,Loop Trail,26,7,2002,2,2131,0,49.0,7.5
Leptophis,depressirostris,Loop Trail,2,8,2002,,2146,0,,
Bothriechis,schlegelii,Loop Trail,5,6,2002,2,2150,0,,
Dipsas,sp.,Loop Trail,18,6,2002,2,2051,0,,
Oxybelis,brevirostris,Loop Trail,29,5,2003,,1950,0,,
Oxybelis,brevirostris,Loop Trail,16,7,2003,,2114,0,57.0,21.9
Oxybelis,brevirostris,Loop Trail,29,7,2003,,2045,0,44.0,11.8
Imantodes,cenchoa,Loop Trail,17,5,2003,,2200,0,65.0,
Imantodes,cenchoa,Loop Trail,16,7,2003,,2141,0,67.0,19.9
Dipsas,sp.,Loop Trail,4,6,2003,,2044,0,39.0,8.9
Dipsas,sp.,Loop Trail,16,7,2003,,2033,1,44.0,9.9
Dipsas,sp.,Loop Trail,24,7,2003,,2048,0,42.0,9.9
Rhadinaea,vermiculaticeps,Loop Trail,17,7,2003,,950,0,,
Rhadinaea,vermiculaticeps,Loop Trail,17,7,2003,,1000,0,9.5,
Bothrops,asper,Loop Trail,10,11,2004,,2016,0,,
Bothrops,asper,Loop Trail,17,11,2004,,2102,0,,
Bothrops,asper,Loop Trail,7,12,2004,,2132,0,,
Oxybelis,brevirostris,Loop Trail,4,11,2004,,2025,0,,
Oxybelis,brevirostris,Loop Trail,10,11,2004,,1933,0,,
Oxybelis,brevirostris,Loop Trail,10,11,2004,,1943,0,,
Oxybelis,brevirostris,Loop Trail,17,11,2004,,2023,0,,
Oxybelis,brevirostris,Loop Trail,17,11,2004,,2041,0,,
Oxybelis,brevirostris,Loop Trail,17,11,2004,,2201,0,,
Oxybelis,brevirostris,Loop Trail,7,12,2004,,2120,0,,
Oxybelis,brevirostris,Loop Trail,7,12,2004,,2147,0,,
Leptodeira,septentrionalis,Loop Trail,17,11,2004,,2032,0,,
Bothriechis,schlegelii,Loop Trail,26,9,2006,2,8:13:00 PM,2,31.6,8.4
Leptodeira,septentrionalis,Loop Trail,3,10,2006,2,11:07:00 PM,1,50.9,23.2
Sibon,annulatus,Loop Trail,5,3,2007,2,8:11:00 PM,1,37.3,5.3
Sibon,annulatus,Loop Trail,27,3,2007,2,8:07:00 PM,2,38.0,7.8
Sibon,annulatus,Loop Trail,28,4,2007,2,8:15:00 PM,1,38.0,5.4
Sibon,annulatus,Loop Trail,16,6,2007,2,10:-28:-59 PM,1,40.5,
Sibon,annulatus,Loop Trail,16,6,2007,2,10:-12:-59 PM,1,32.0,
Oxybelis,brevirostris,Loop Trail,12,3,2007,2,10:09:00 PM,1,70.3,24.1
Oxybelis,brevirostris,Loop Trail,12,3,2007,2,10:-13:-59 PM,2,62.2,20.6
Oxybelis,brevirostris,Loop Trail,27,3,2007,2,10:29:00 PM,1,70.3,25.8
Oxybelis,brevirostris,Loop Trail,28,4,2007,2,8:-13:-59 PM,2,30.4,3.3
Oxybelis,brevirostris,Loop Trail,8,5,2007,2,8:03:00 PM,2,60.0,17.9
Oxybelis,brevirostris,Loop Trail,10,7,2007,,10:09:00 PM,1,70.1,23.6
Oxybelis,brevirostris,Loop Trail,22,7,2007,,,2,70.2,32.6
Imantodes,cenchoa,Loop Trail,12,3,2007,2,9:25:00 PM,2,60.8,12.6
Imantodes,cenchoa,Loop Trail,8,4,2007,2,9:25:00 PM,2,37.8,3.2
Leptophis,nebulosus,Loop Trail,23,4,2007,2,10:-6:-59 PM,2,53.5,30.4
Dipsas,sp.,Loop Trail,12,3,2007,2,9:25:00 PM,1,39.7,8.0
Dipsas,sp.,Loop Trail,17,3,2007,2,10:-14:-59 PM,1,48.7,10.2
Dipsas,sp.,Loop Trail,27,3,2007,2,9:-24:-59 PM,2,29.6,4.5
Dipsas,sp.,Loop Trail,8,4,2007,2,10:-18:-59 PM,2,28.2,5.1
Dipsas,sp.,Loop Trail,16,4,2007,2,11:-27:-59 PM,2,29.1,3.4
Dipsas,sp.,Loop Trail,28,4,2007,2,9:-29:-59 PM,1,28.8,3.0
Dipsas,sp.,Loop Trail,28,4,2007,2,9:-13:-59 PM,1,49.1,14.9
Dipsas,sp.,Loop Trail,20,7,2007,,9:07:00 PM,1,36.4,6.9
Dipsas,sp.,Loop Trail,19,8,2007,,,1,44.1,11.9
Dipsas,sp.,Loop Trail,10,11,2007,,,1,25.2,3.1
Oxybelis,brevirostris,Loop Trail,17,9,2008,2,9:-17:-59 PM,2,67.5,28.1
Imantodes,cenchoa,Loop Trail,17,8,2008,2,9:26:00 PM,1,66.9,16.5
Dipsas,sp.,Loop Trail,3,6,2008,2,9:17:00 PM,1,27.8,3.6
Erytholamprus,sp.,Loop Trail,8,7,2008,,,2,66.9,54.6
Leptodeira,septentrionalis,Loop Trail,17,10,2009,,2011,0,,
Oxybelis,brevirostris,Loop Trail,7,8,2011,,,1,66.1,28.0
Rhinobothrium,bovallii,Loop Trail,4,7,2012,1,2111,0,,
Imantodes,cenchoa,Loop Trail,30,1,2012,2,2133,2,56.2,11.5
Imantodes,cenchoa,Loop Trail,13,2,2012,2,2137,2,60.6,12.5
Dipsas,sp.,Loop Trail,3,7,2012,,2153,0,,
Imantodes,cenchoa,Main Trail,29,12,1997,,2032,0,,
Clelia,clelia,Main Trail,31,12,1997,,1954,0,,
Sibon,argus,Main Trail,22,6,1998,,2018,0,,
Imantodes,cenchoa,Main Trail,13,1,1998,,2120,0,,
Imantodes,inornatus,Main Trail,25,6,1998,,2225,0,,
Imantodes,cenchoa,Main Trail,6,8,1999,2,1952,0,47.0,5.8
Rhadinaea,decorata,Main Trail,7,7,1999,,2125,0,,
Leptophis,depressirostris,Main Trail,7,7,1999,,2100,0,,
Leptodeira,septentrionalis,Main Trail,12,7,1999,,2029,0,,
Sibon,argus,Main Trail,31,7,2000,2,2052,0,,
Imantodes,cenchoa,Main Trail,19,5,2000,,,0,63.0,16.5
Imantodes,cenchoa,Main Trail,31,5,2000,,2140,1,,
Rhadinaea,decorata,Main Trail,18,5,2000,,,0,22.5,6.0
Leptodeira,septentrionalis,Main Trail,25,5,2000,,2110,0,43.5,18.5
Sibon,argus,Main Trail,29,5,2001,,2105,0,,
Sibon,argus,Main Trail,16,7,2001,,2116,0,27.0,
Sibon,argus,Main Trail,16,7,2001,,2123,2,38.0,8.0
Rhadinaea,decorata,Main Trail,1,6,2001,,948,0,,
Sibon,annulatus,Main Trail,30,5,2002,,2138,0,25.0,4.6
Oxybelis,brevirostris,Main Trail,30,6,2002,,2009,0,,
Oxybelis,brevirostris,Main Trail,21,7,2002,2,2027,0,36.0,
Oxybelis,brevirostris,Main Trail,5,8,2002,,2002,0,67.0,29.5
Imantodes,cenchoa,Main Trail,5,8,2002,,2022,0,71.5,15.5
Rhadinaea,decorata,Main Trail,21,6,2002,,2018,0,21.5,8.0
Nothopsis,rugosus,Main Trail,30,5,2002,,2158,0,31.0,11.0
Sibon,annulatus,Main Trail,5,6,2003,,2055,0,41.0,6.4
Sibon,annulatus,Main Trail,5,6,2003,,2210,0,45.0,8.4
Sibon,annulatus,Main Trail,5,6,2003,,2240,0,,
Sibon,argus,Main Trail,30,5,2003,,2045,2,41.0,16.2
Sibon,argus,Main Trail,8,7,2003,,2102,0,37.5,8.2
Sibon,argus,Main Trail,8,7,2003,,2112,0,,
Geophis,bellus,Main Trail,30,5,2003,,2042,0,,
Oxybelis,brevirostris,Main Trail,5,6,2003,,2013,0,61.0,30.4
Oxybelis,brevirostris,Main Trail,5,6,2003,,2025,0,51.0,14.1
Oxybelis,brevirostris,Main Trail,5,6,2003,,2125,0,64.0,38.1
Oxybelis,brevirostris,Main Trail,4,7,2003,,2139,0,,
Oxybelis,brevirostris,Main Trail,23,7,2003,,2007,0,67.0,30.4
Oxybelis,brevirostris,Main Trail,1,8,2003,,,0,40.0,
Imantodes,cenchoa,Main Trail,27,7,2003,,2055,0,57.5,12.4
Imantodes,cenchoa,Main Trail,27,7,2003,,2122,0,61.0,9.9
Imantodes,cenchoa,Main Trail,1,8,2003,,,0,74.0,17.8
Ninia,maculata,Main Trail,30,5,2003,,2027,0,30.0,12.2
Mastigodryas,melanolomus,Main Trail,3,6,2003,,1000,0,,
Bothriechis,schlegelii,Main Trail,5,6,2003,,2155,0,,
Dipsas,sp.,Main Trail,1,8,2003,,2017,0,48.0,14.8
Leptodeira,septentrionalis,Main Trail,7,11,2004,,1942,0,35.0,
Dipsas,sp.,Main Trail,27,11,2004,,2118,0,,
Sibon,annulatus,Main Trail,28,11,2006,2,7:-4:-59 PM,2,36.9,6.0
Imantodes,cenchoa,Main Trail,12,11,2006,2,9:-1:-59 PM,1,48.2,5.1
Bothriechis,schlegelii,Main Trail,3,10,2006,2,9:-29:-59 PM,2,24.9,4.9
Bothriechis,schlegelii,Main Trail,12,12,2006,2,7:10:00 PM,2,50.0,54.7
Corallus,annulatus,Main Trail,19,7,2007,,9:-25:-59 PM,1,75.8,115.5
Sibon,annulatus,Main Trail,17,2,2007,2,8:18:00 PM,1,31.0,3.7
Sibon,annulatus,Main Trail,2,4,2007,2,8:19:00 PM,1,30.4,5.6
Sibon,annulatus,Main Trail,6,5,2007,2,10:19:00 PM,2,34.6,8.8
Sibon,annulatus,Main Trail,19,8,2007,2,9:-7:-59 PM,1,29.3,2.4
Sibon,argus,Main Trail,2,6,2007,2,8:-2:-59 PM,1,31.5,
Sibon,argus,Main Trail,30,7,2007,2,8:-9:-59 PM,1,40.7,10.8
Rhinobothrium,bovallii,Main Trail,10,11,2007,,,2,104.9,105.9
Oxybelis,brevirostris,Main Trail,23,1,2007,2,,1,53.2,11.3
Oxybelis,brevirostris,Main Trail,6,2,2007,2,7:21:00 PM,1,61.7,21.3
Oxybelis,brevirostris,Main Trail,6,2,2007,2,8:-14:-59 PM,1,26.3,2.4
Oxybelis,brevirostris,Main Trail,12,3,2007,2,8:18:00 PM,2,58.1,17.8
Oxybelis,brevirostris,Main Trail,2,4,2007,2,8:-23:-59 PM,1,66.7,25.0
Oxybelis,brevirostris,Main Trail,2,4,2007,2,9:-18:-59 PM,1,27.1,2.8
Oxybelis,brevirostris,Main Trail,8,4,2007,,8:-7:-59 PM,2,62.0,19.3
Oxybelis,brevirostris,Main Trail,8,4,2007,,8:-23:-59 PM,1,66.7,25.0
Oxybelis,brevirostris,Main Trail,8,4,2007,,8:-19:-59 PM,1,68.4,27.3
Oxybelis,brevirostris,Main Trail,12,4,2007,2,8:00:00 PM,1,63.6,20.7
Oxybelis,brevirostris,Main Trail,23,4,2007,2,7:23:00 PM,1,66.7,21.7
Oxybelis,brevirostris,Main Trail,6,5,2007,2,11:-15:-59 PM,1,66.7,20.0
Oxybelis,brevirostris,Main Trail,19,7,2007,,9:-2:-59 PM,1,54.4,14.4
Oxybelis,brevirostris,Main Trail,30,7,2007,,8:05:00 PM,2,63.7,21.4
Oxybelis,brevirostris,Main Trail,12,8,2007,,11:-11:-59 PM,2,63.7,21.8
Oxybelis,brevirostris,Main Trail,13,8,2007,,9:-22:-59 PM,1,23.6,2.0
Oxybelis,brevirostris,Main Trail,27,11,2007,2,,0,,
Imantodes,cenchoa,Main Trail,1,1,2007,2,7:20:00 PM,1,62.2,13.9
Imantodes,cenchoa,Main Trail,18,1,2007,2,9:-1:-59 PM,1,75.3,15.0
Imantodes,cenchoa,Main Trail,17,2,2007,2,8:23:00 PM,1,34.5,3.1
Imantodes,cenchoa,Main Trail,17,2,2007,2,9:03:00 PM,1,72.5,15.3
Imantodes,cenchoa,Main Trail,18,2,2007,2,7:22:00 PM,1,60.3,8.8
Imantodes,cenchoa,Main Trail,8,3,2007,2,9:-10:-59 PM,1,34.8,2.7
Imantodes,cenchoa,Main Trail,17,3,2007,2,7:27:00 PM,2,61.7,12.7
Imantodes,cenchoa,Main Trail,27,3,2007,2,8:-7:-59 PM,1,73.9,16.5
Imantodes,cenchoa,Main Trail,8,4,2007,,8:29:00 PM,2,76.2,36.8
Imantodes,cenchoa,Main Trail,2,6,2007,,9:-22:-59 PM,1,74.0,14.6
Imantodes,cenchoa,Main Trail,23,7,2007,,,1,60.4,9.2
Imantodes,cenchoa,Main Trail,18,11,2007,2,,2,81.2,25.2
Chironius,grandisquamis,Main Trail,22,8,2007,,,1,94.5,205.0
Sibon,nebulatus,Main Trail,21,7,2007,2,8:-19:-59 PM,1,45.1,17.8
Sibon,nebulatus,Main Trail,15,8,2007,2,10:22:00 PM,2,,
Nothopsis,rugosus,Main Trail,23,1,2007,2,,2,31.3,9.4
Bothriechis,schlegelii,Main Trail,10,5,2007,,,0,,
