Genus,Species,Transect,Day,Mo,Year,ampm,Time,sex,SVL,Mass
Imantodes,cenchoa,Rocky Road,28,2,2012,,,2,95.2,50.0
Bothriechis,schlegelii,Rocky Road,17,1,2012,,2231,0,,
Dipsas,sp.,Rocky Road,11,1,2012,,,1,19.5,3.5
Dipsas,sp.,Rocky Road,13,1,2012,,1907,2,36.2,11.0
Dipsas,sp.,Rocky Road,27,2,2012,,,1,24.7,3.5
Dipsas,sp.,Rocky Road,28,2,2012,,,1,47.1,13.0
Dipsas,sp.,Rocky Road,6,3,2012,,,0,,
Oxybelis,brevirostris,Rocky Road past Cascada,15,3,2007,,10:-18:-59 PM,2,29.4,3.0
Rhadinaea,decorata,Seep Stream,21,5,2000,,,0,23.0,7.0
Sibon,annulatus,Sen Abe,18,11,2007,,,1,40.3,6.8
Oxybelis,brevirostris,Sen Abe,3,4,2007,,8:26:00 PM,2,68.1,23.7
Imantodes,cenchoa,Sen Abe,20,7,2007,,8:13:00 PM,2,43.0,4.2
Dipsas,sp.,Sen Abe,2,6,2008,,,1,50.6,14.7
Dipsas,sp.,Sen Abe,20,6,2011,,,0,,
Dipsas,sp.,Sen Abe,17,1,2012,,2150,1,50.2,14.5
Oxybelis,brevirostris,Shortcut,19,8,2007,,10:-28:-59 PM,1,58.2,17.0
Dipsas,sp.,Shortcut,5,2,2007,,10:-28:-59 PM,1,44.6,11.1
Dipsas,sp.,Shortcut,5,2,2007,,10:-27:-59 PM,1,49.2,14.4
Dipsas,sp.,Shortcut,20,2,2010,,,2,46.1,20.3
Sibon,annulatus,Silenciosa,27,7,2000,,2121,0,22.0,
Sibon,argus,Silenciosa,20,5,2000,,2001,0,25.5,2.2
Sibon,argus,Silenciosa,2,6,2000,,2010,0,25.0,
Sibon,argus,Silenciosa,27,7,2000,,2028,0,,
Bothrops,asper,Silenciosa,27,7,2000,,2150,0,,
Imantodes,cenchoa,Silenciosa,27,5,2000,,2115,0,70.0,14.3
Pliocercus,euryzona,Silenciosa,2,6,2000,,2037,0,,
Pliocercus,euryzona,Silenciosa,27,7,2000,,2100,0,,
Pliocercus,euryzona,Silenciosa,2,8,2000,,2150,0,,
Sibon,annulatus,Silenciosa,24,6,2001,,2041,1,30.5,4.7
Sibon,annulatus,Silenciosa,17,7,2001,,2023,0,25.5,
Sibon,argus,Silenciosa,21,5,2001,,2100,0,43.0,14.0
Sibon,argus,Silenciosa,30,5,2001,,2104,0,23.0,
Sibon,argus,Silenciosa,30,5,2001,,2110,0,45.0,
Sibon,argus,Silenciosa,30,5,2001,,2221,0,25.0,
Sibon,argus,Silenciosa,9,6,2001,,2037,0,23.0,
Sibon,argus,Silenciosa,9,6,2001,,2119,0,,
Sibon,argus,Silenciosa,14,6,2001,,2056,0,,
Sibon,argus,Silenciosa,14,6,2001,,2107,0,,
Sibon,argus,Silenciosa,24,6,2001,,2016,0,43.5,9.4
Sibon,argus,Silenciosa,24,6,2001,,2100,2,24.0,
Sibon,argus,Silenciosa,3,7,2001,,2040,0,,
Sibon,argus,Silenciosa,3,7,2001,,2118,0,,
Sibon,argus,Silenciosa,3,7,2001,,2125,0,,
Sibon,argus,Silenciosa,11,7,2001,,2100,0,24.1,
Sibon,argus,Silenciosa,17,7,2001,,2113,0,48.0,17.5
Imantodes,cenchoa,Silenciosa,30,5,2001,,2211,0,72.0,26.3
Leptodeira,septentrionalis,Silenciosa,3,7,2001,,2050,0,16.0,
Sibon,argus,Silenciosa,31,5,2002,,2040,0,,
Sibon,argus,Silenciosa,31,5,2002,,2120,0,29.0,6.2
Sibon,argus,Silenciosa,31,5,2002,,2157,0,35.0,7.7
Sibon,argus,Silenciosa,13,7,2002,,2155,1,38.0,8.0
Sibon,argus,Silenciosa,28,7,2002,,2038,0,34.0,6.4
Sibon,argus,Silenciosa,28,7,2002,,2105,0,32.0,8.5
Sibon,argus,Silenciosa,28,7,2002,,2110,0,,
Sibon,argus,Silenciosa,7,8,2002,,2021,0,25.0,5.4
Oxybelis,brevirostris,Silenciosa,31,5,2002,,2047,0,36.0,4.6
Oxybelis,brevirostris,Silenciosa,13,7,2002,,2214,1,39.5,6.9
Imantodes,cenchoa,Silenciosa,16,6,2002,,2025,0,78.0,26.5
Rhadinaea,decorata,Silenciosa,15,6,2002,,1000,0,25.5,9.5
Rhadinaea,decorata,Silenciosa,29,6,2002,,1120,0,24.0,6.7
Leptodeira,septentrionalis,Silenciosa,31,5,2002,,2115,0,37.0,13.2
Leptodeira,septentrionalis,Silenciosa,28,7,2002,,2050,0,19.0,5.4
Sibon,argus,Silenciosa,22,5,2003,,2004,0,21.0,2.5
Sibon,argus,Silenciosa,22,5,2003,,2114,0,27.0,5.6
Sibon,argus,Silenciosa,28,5,2003,,2037,0,17.0,
Sibon,argus,Silenciosa,28,5,2003,,2050,0,,
Sibon,argus,Silenciosa,1,6,2003,,2101,0,28.5,4.8
Sibon,argus,Silenciosa,12,6,2003,2,2130,0,40.0,14.3
Sibon,argus,Silenciosa,18,7,2003,,1955,0,33.5,6.9
Sibon,argus,Silenciosa,18,7,2003,,2000,1,36.0,8.4
Sibon,argus,Silenciosa,21,10,2003,,2022,0,,
Oxybelis,brevirostris,Silenciosa,1,6,2003,,2020,0,33.0,5.3
Chironius,grandisquamis,Silenciosa,2,8,2003,,2021,0,,
Micrurus,multifasciatus,Silenciosa,22,5,2003,,2125,0,,
Leptodeira,septentrionalis,Silenciosa,5,12,2003,,2257,0,,
Sibon,argus,Silenciosa,16,1,2004,,2235,0,30.0,
Sibon,argus,Silenciosa,22,4,2004,,2135,0,,
Sibon,argus,Silenciosa,16,5,2004,2,2050,0,28.5,
Sibon,argus,Silenciosa,8,6,2004,2,2257,2,35.0,9.6
Sibon,argus,Silenciosa,24,9,2004,,2052,0,46.5,16.5
Sibon,argus,Silenciosa,24,9,2004,,2304,0,39.9,
Sibon,argus,Silenciosa,26,10,2004,,2039,0,43.5,
Sibon,argus,Silenciosa,3,11,2004,,2118,2,36.5,9.6
Sibon,argus,Silenciosa,14,11,2004,,2055,2,35.0,9.6
Sibon,argus,Silenciosa,10,12,2004,,,0,,
Sibon,argus,Silenciosa,10,12,2004,,,0,,
Oxybelis,brevirostris,Silenciosa,2,7,2004,,2100,0,,
Oxybelis,brevirostris,Silenciosa,10,12,2004,,,0,,
Imantodes,cenchoa,Silenciosa,24,9,2004,,2133,0,71.1,
Imantodes,cenchoa,Silenciosa,22,10,2004,,2051,0,,
Dipsas,sp.,Silenciosa,22,4,2004,,2116,0,,
Sibon,annulatus,Silenciosa,16,9,2006,2,10:-17:-59 PM,2,27.2,2.2
Sibon,annulatus,Silenciosa,13,10,2006,2,8:20:00 PM,1,37.9,5.4
Sibon,argus,Silenciosa,10,9,2006,2,10:29:00 PM,2,34.5,7.0
Sibon,argus,Silenciosa,10,9,2006,2,11:-1:-59 PM,2,32.0,5.8
Sibon,argus,Silenciosa,25,9,2006,2,9:18:00 PM,2,38.2,8.3
Sibon,argus,Silenciosa,2,10,2006,2,9:-12:-59 PM,1,38.0,7.9
Sibon,argus,Silenciosa,26,10,2006,2,9:29:00 PM,1,39.0,8.1
Sibon,argus,Silenciosa,28,11,2006,2,8:-27:-59 PM,2,27.6,3.7
Sibon,argus,Silenciosa,28,11,2006,2,8:-13:-59 PM,2,37.9,8.7
Sibon,argus,Silenciosa,6,12,2006,2,9:-18:-59 PM,1,38.8,7.1
Sibon,argus,Silenciosa,15,12,2006,2,9:-10:-59 PM,1,36.5,7.1
Imantodes,cenchoa,Silenciosa,12,9,2006,2,9:07:00 PM,2,49.0,8.2
Imantodes,cenchoa,Silenciosa,15,9,2006,,7:14:00 PM,1,82.0,18.0
Imantodes,cenchoa,Silenciosa,28,9,2006,2,10:-11:-59 PM,2,47.4,5.5
Imantodes,cenchoa,Silenciosa,4,10,2006,2,9:29:00 PM,2,31.3,2.2
Imantodes,cenchoa,Silenciosa,5,11,2006,2,9:06:00 PM,2,31.2,2.5
Imantodes,cenchoa,Silenciosa,26,11,2006,2,8:03:00 PM,2,74.2,22.0
Sibon,longifrenis,Silenciosa,16,9,2006,2,10:-5:-59 PM,1,35.4,5.7
Sibon,longifrenis,Silenciosa,25,9,2006,2,9:-14:-59 PM,1,35.4,5.4
Sibon,longifrenis,Silenciosa,4,10,2006,2,10:-18:-59 PM,2,35.2,7.3
Sibon,longifrenis,Silenciosa,7,10,2006,2,9:23:00 PM,1,35.4,5.4
Bothriechis,schlegelii,Silenciosa,6,9,2006,,11:-26:-59 PM,2,29.0,11.1
Bothriechis,schlegelii,Silenciosa,16,9,2006,2,10:-28:-59 PM,2,29.0,11.1
Leptodeira,septentrionalis,Silenciosa,11,12,2006,2,9:-29:-59 PM,1,36.0,10.3
Sibon,annulatus,Silenciosa,7,4,2007,2,10:-25:-59 PM,2,34.2,4.9
Sibon,annulatus,Silenciosa,4,5,2007,2,10:08:00 PM,2,24.5,1.4
Sibon,annulatus,Silenciosa,7,7,2007,2,9:-17:-59 PM,1,37.9,5.5
Sibon,annulatus,Silenciosa,7,7,2007,2,8:28:00 PM,2,34.2,4.6
Sibon,annulatus,Silenciosa,12,7,2007,2,10:-25:-59 PM,1,40.5,5.5
Sibon,annulatus,Silenciosa,16,7,2007,2,9:-28:-59 PM,1,38.4,5.1
Sibon,annulatus,Silenciosa,3,8,2007,2,9:-2:-59 PM,2,37.0,6.4
Sibon,annulatus,Silenciosa,14,8,2007,2,9:25:00 PM,1,25.7,2.5
Sibon,argus,Silenciosa,1,1,2007,2,8:-8:-59 PM,2,37.8,9.8
Sibon,argus,Silenciosa,1,1,2007,2,8:24:00 PM,1,38.9,7.1
Sibon,argus,Silenciosa,23,1,2007,2,,2,38.4,8.4
Sibon,argus,Silenciosa,29,1,2007,2,9:26:00 PM,2,28.3,3.7
Sibon,argus,Silenciosa,6,2,2007,2,8:11:00 PM,2,28.1,3.6
Sibon,argus,Silenciosa,7,4,2007,2,10:-16:-59 PM,2,36.4,7.0
Sibon,argus,Silenciosa,16,4,2007,2,9:11:00 PM,1,36.3,6.7
Sibon,argus,Silenciosa,4,5,2007,2,9:25:00 PM,2,33.8,6.2
Sibon,argus,Silenciosa,18,5,2007,2,9:23:00 PM,2,28.1,3.7
Sibon,argus,Silenciosa,12,7,2007,2,10:-10:-59 PM,2,37.3,8.1
Oxybelis,brevirostris,Silenciosa,1,1,2007,2,9:01:00 PM,1,54.5,11.6
Oxybelis,brevirostris,Silenciosa,6,2,2007,2,9:-13:-59 PM,2,69.6,27.7
Oxybelis,brevirostris,Silenciosa,26,2,2007,2,10:-23:-59 PM,2,62.9,18.8
Oxybelis,brevirostris,Silenciosa,23,3,2007,2,10:26:00 PM,2,57.3,14.1
Imantodes,cenchoa,Silenciosa,12,1,2007,,8:16:00 PM,2,74.5,24.8
Imantodes,cenchoa,Silenciosa,8,3,2007,2,10:26:00 PM,1,74.1,16.2
Imantodes,cenchoa,Silenciosa,8,3,2007,2,11:-23:-59 PM,2,98.6,56.4
Clelia,clelia,Silenciosa,16,4,2007,2,9:02:00 PM,1,151.0,
Imantodes,inornatus,Silenciosa,1,1,2007,2,8:18:00 PM,2,59.6,20.7
Sibon,longifrenis,Silenciosa,18,1,2007,2,8:-1:-59 PM,1,34.6,5.3
Sibon,longifrenis,Silenciosa,7,7,2007,2,9:13:00 PM,1,34.7,5.2
Sibon,longifrenis,Silenciosa,21,7,2007,2,9:-14:-59 PM,1,34.7,
Sibon,nebulatus,Silenciosa,29,7,2007,2,8:23:00 PM,1,46.5,23.0
Bothriechis,schlegelii,Silenciosa,8,3,2007,2,10:16:00 PM,2,18.2,3.9
Bothriechis,schlegelii,Silenciosa,7,4,2007,2,9:12:00 PM,2,24.9,5.0
Bothriechis,schlegelii,Silenciosa,7,4,2007,2,9:00:00 PM,1,31.9,9.4
Leptodeira,septentrionalis,Silenciosa,6,2,2007,2,9:-26:-59 PM,1,54.4,17.5
Leptodeira,septentrionalis,Silenciosa,7,4,2007,2,9:21:00 PM,1,34.9,10.5
Dipsas,sp.,Silenciosa,4,5,2007,2,9:12:00 PM,1,39.3,7.6
Dipsas,sp.,Silenciosa,7,7,2007,,9:-7:-59 PM,1,38.2,6.5
Dipsas,sp.,Silenciosa,3,8,2007,,9:05:00 PM,1,37.3,5.3
Sibon,annulatus,Silenciosa,8,6,2008,2,9:-4:-59 PM,2,37.6,7.3
Sibon,annulatus,Silenciosa,8,6,2008,2,9:09:00 PM,2,37.1,6.4
Sibon,annulatus,Silenciosa,24,6,2008,2,11:16:00 PM,2,36.9,10.3
Oxybelis,brevirostris,Silenciosa,8,6,2008,2,9:28:00 PM,2,41.0,6.1
Imantodes,cenchoa,Silenciosa,8,6,2008,2,9:-18:-59 PM,2,70.0,14.4
Dipsas,sp.,Silenciosa,24,6,2008,2,11:13:00 PM,2,26.5,4.0
Chironius,grandisquamis,Silenciosa,11,7,2010,1,1140,0,,
Sibon,argus,Silenciosa,16,7,2011,2,2158,0,33.6,5.3
Sibon,argus,Silenciosa,17,7,2011,2,2137,0,37.3,6.5
Sibon,argus,Silenciosa,18,7,2011,2,2200,0,39.1,6.9
Sibon,annulatus,Silenciosa,4,6,2012,2,1941,0,23.4,2.3
Sibon,argus,Silenciosa,3,6,2012,2,,0,,
Sibon,argus,Silenciosa,15,7,2012,2,1956,0,,
Geophis,brachycephalus,Silenciosa,15,7,2012,2,1923,0,238.0,
Imantodes,cenchoa,Silenciosa,24,6,2012,2,1940,0,,
Dipsas,sp.,Silenciosa,3,6,2012,2,,0,,
Dipsas,sp.,Silenciosa,24,6,2012,2,2006,0,,
Dipsas,sp.,Silenciosa,26,6,2012,2,2150,0,,
Leptophis,ahaetulla,str-rancho trail,30,11,1998,,2115,0,,
Sibon,annulatus,TADS,28,9,2006,,9:11:00 PM,1,40.5,7.7
Sibon,annulatus,TADS,26,10,2006,,8:20:00 PM,2,29.1,3.2
Sibon,argus,TADS,6,9,2006,,10:-17:-59 PM,2,29.0,5.4
Sibon,argus,TADS,10,9,2006,,9:-23:-59 PM,2,41.6,10.9
Sibon,argus,TADS,25,9,2006,,8:09:00 PM,1,26.6,2.9
Sibon,argus,TADS,28,9,2006,,10:-21:-59 PM,0,,
Sibon,argus,TADS,17,10,2006,,10:-12:-59 PM,2,29.4,5.0
Sibon,argus,TADS,26,10,2006,,9:-25:-59 PM,2,29.4,5.0
Sibon,argus,TADS,13,11,2006,,8:10:00 PM,2,29.9,5.0
Sibon,argus,TADS,26,11,2006,,9:00:00 PM,1,25.5,3.1
Oxybelis,brevirostris,TADS,6,9,2006,,10:-10:-59 PM,2,64.6,25.6
Oxybelis,brevirostris,TADS,17,10,2006,,10:05:00 PM,2,66.4,28.6
Oxybelis,brevirostris,TADS,13,11,2006,,8:21:00 PM,2,61.0,20.5
Imantodes,cenchoa,TADS,6,9,2006,,10:-24:-59 PM,1,76.7,18.1
Imantodes,cenchoa,TADS,5,11,2006,,9:-3:-59 PM,2,75.8,22.5
Sibon,longifrenis,TADS,28,11,2006,,8:26:00 PM,1,34.9,5.4
Dipsas,sp.,TADS,26,11,2006,,8:-10:-59 PM,1,22.7,2.3
Sibon,annulatus,TADS,6,4,2007,,9:-5:-59 PM,2,25.4,2.6
Sibon,annulatus,TADS,6,4,2007,,9:-10:-59 PM,2,37.8,5.6
Sibon,annulatus,TADS,22,5,2007,,10:26:00 PM,2,25.1,2.4
Sibon,annulatus,TADS,12,8,2007,,10:-16:-59 PM,2,34.6,6.0
Sibon,argus,TADS,4,1,2007,,9:-28:-59 PM,2,41.5,11.8
Oxybelis,brevirostris,TADS,20,1,2007,,8:-25:-59 PM,2,62.9,20.2
Oxybelis,brevirostris,TADS,5,2,2007,,9:20:00 PM,2,54.0,13.3
Oxybelis,brevirostris,TADS,29,7,2007,,8:16:00 PM,2,63.2,24.9
Imantodes,cenchoa,TADS,4,1,2007,,9:-2:-59 PM,1,67.0,8.8
Leptophis,depressirostris,TADS,20,1,2007,,9:26:00 PM,1,51.5,10.2
Sibon,nebulatus,TADS,16,7,2007,,8:12:00 PM,2,47.4,22.5
Sibon,annulatus,TADS,6,9,2008,,10:-27:-59 PM,2,36.0,5.0
Dipsas,sp.,TADS,20,2,2010,,,2,35.9,8.4
Sibon,annulatus,Trail to Cascada,15,8,2007,,10:-29:-59 PM,1,41.4,
Sibon,annulatus,Trail to Guabal,30,12,2006,,9:-14:-59 PM,2,35.6,6.7
Oxybelis,brevirostris,Trail to Guabal,5,12,2006,,9:-26:-59 PM,1,72.3,30.8
Imantodes,cenchoa,Trail to Guabal,5,12,2006,,8:00:00 PM,2,94.3,47.4
Sibon,annulatus,Trail to Guabal,20,2,2007,,8:-3:-59 PM,1,38.7,5.8
Sibon,annulatus,Trail to Guabal,22,5,2007,,9:01:00 PM,2,34.9,4.3
Sibon,annulatus,Trail to Guabal,13,7,2007,,9:-7:-59 PM,2,55.4,4.6
Oxybelis,brevirostris,Trail to Guabal,27,2,2007,,10:-6:-59 PM,1,58.2,20.1
Oxybelis,brevirostris,Trail to Guabal,16,8,2007,,9:05:00 PM,1,58.3,20.9
Imantodes,cenchoa,Trail to Guabal,11,3,2007,,9:13:00 PM,2,45.5,4.8
Imantodes,cenchoa,Trail to Guabal,22,5,2007,,9:-2:-59 PM,2,65.0,13.1
Imantodes,cenchoa,Trail to Guabal,16,8,2007,,9:16:00 PM,2,58.2,8.9
Leptodeira,septentrionalis,Trail to Guabal,13,7,2007,,9:-1:-59 PM,1,54.6,20.2
Dipsas,sp.,Trail to Guabal,4,1,2007,,9:25:00 PM,1,48.7,15.3
Dipsas,sp.,Trail to Guabal,26,3,2007,,9:-12:-59 PM,1,44.4,8.8
Dipsas,sp.,Trail to Guabal,22,11,2007,,,0,,
Dipsas,sp.,Trail to Guabal,22,11,2007,,,0,,
Oxybelis,brevirostris,Trail to Guabal,22,8,2008,,9:21:00 PM,1,81.1,21.1
Rhadinaea,decorata,trail to JaJa,29,7,2000,,,0,25.0,10.1
Sibon,annulatus,Trail to Pond,5,6,2007,,9:04:00 PM,2,62.0,
Imantodes,cenchoa,Trail to Pond,14,3,2007,,8:-24:-59 PM,1,60.0,22.5
Dipsas,sp.,Trail to Pond,26,2,2007,,10:17:00 PM,2,40.0,7.1
Dipsas,sp.,Trail to Pond,24,7,2007,,,1,52.4,14.6
Oxybelis,brevirostris,Trail to Pond,14,10,2009,,2138,0,,
Oxybelis,brevirostris,Trail to TADS,19,8,2007,,21;17,2,62.8,22.2
Dipsas,sp.,Trail to TADS,22,11,2007,,,0,,
Sibon,annulatus,Trail to TADS,26,8,2008,,8:05:00 PM,2,34.2,4.4
Oxybelis,brevirostris,Trail to TADS,6,9,2008,,10:-10:-59 PM,2,66.9,28.6
Oxybelis,brevirostris,Trail to Visitor Center,5,3,2007,,8:-11:-59 PM,2,63.7,22.5
Oxybelis,brevirostris,Trail to Visitor Center,13,2,2012,,2140,1,,
Imantodes,inornatus,vaLoop Stream ditch,8,6,1998,,2045,0,,
Imantodes,cenchoa,Verrugosa,1,8,2000,,2045,0,63.5,13.4
Imantodes,cenchoa,Verrugosa,10,8,2000,,2115,0,,
Sibon,longifrenis,Verrugosa,10,6,2001,,2030,0,45.0,12.3
Oxybelis,brevirostris,Verrugosa,4,6,2002,,2115,0,38.0,7.0
Oxybelis,brevirostris,Verrugosa,14,6,2002,,2021,0,38.5,5.6
Imantodes,cenchoa,Verrugosa,4,6,2002,,2100,1,80.0,18.0
Imantodes,cenchoa,Verrugosa,20,6,2002,,2044,0,67.0,24.5
Imantodes,cenchoa,Verrugosa,11,7,2002,,2108,0,70.0,15.0
Imantodes,cenchoa,Verrugosa,23,7,2002,,2146,0,66.0,13.0
Clelia,clelia,Verrugosa,20,6,2002,,2022,0,,
Geophis,hoffmanni,Verrugosa,20,6,2002,,2030,0,28.0,12.5
Leptodeira,septentrionalis,Verrugosa,2,7,2002,,2031,0,34.0,10.5
Leptodeira,septentrionalis,Verrugosa,11,7,2002,,2050,0,45.0,16.0
Leptodeira,septentrionalis,Verrugosa,11,7,2002,,2105,0,17.0,1.6
Dipsas,sp.,Verrugosa,23,7,2002,,2048,0,35.0,7.4
Sibon,annulatus,Verrugosa,26,7,2003,,2138,0,41.0,7.4
Geophis,bellus,Verrugosa,5,7,2003,,2102,0,13.5,
Ninia,maculata,Verrugosa,5,7,2003,,2059,0,30.5,12.8
Atropoides,mexicanus,Verrugosa,25,7,2003,,1035,0,,
Dendrophidion,nuchale,Verrugosa,6,6,2003,,2018,0,100.0,
Leptodeira,septentrionalis,Verrugosa,28,5,2003,,1023,0,33.0,10.2
Geophis,brachycephalus,Verrugosa,29,11,2006,,8:-20:-59 PM,2,27.0,7.4
Oxybelis,brevirostris,Verrugosa,16,12,2006,2,10:-18:-59 PM,2,62.8,33.4
Oxybelis,brevirostris,Verrugosa,16,12,2006,2,10:06:00 PM,2,66.9,28.3
Imantodes,cenchoa,Verrugosa,16,12,2006,2,9:-2:-59 PM,1,62.9,10.0
Imantodes,inornatus,Verrugosa,23,9,2006,2,9:-28:-59 PM,2,39.5,6.0
Bothriechis,schlegelii,Verrugosa,16,12,2006,2,9:01:00 PM,2,33.0,7.9
Sibon,annulatus,Verrugosa,25,1,2007,2,8:-24:-59 PM,1,40.0,6.1
Oxybelis,brevirostris,Verrugosa,25,1,2007,2,9:-26:-59 PM,1,52.2,11.8
Oxybelis,brevirostris,Verrugosa,28,1,2007,1,1:-12:-59 PM,2,51.4,10.1
Imantodes,cenchoa,Verrugosa,25,1,2007,2,8:-11:-59 PM,1,62.8,10.2
Imantodes,cenchoa,Verrugosa,25,1,2007,2,8:02:00 PM,2,75.9,14.6
Imantodes,inornatus,Verrugosa,25,1,2007,2,8:-4:-59 PM,1,63.3,12.7
Bothriechis,schlegelii,Verrugosa,25,1,2007,2,8:17:00 PM,2,17.1,2.7
Bothriechis,schlegelii,Verrugosa,28,1,2007,1,11:-19:-59 AM,1,27.0,8.2
Dipsas,sp.,Verrugosa,16,7,2007,,9:-24:-59 PM,1,21.3,1.5
Dipsas,sp.,Verrugosa,4,8,2007,,9:-16:-59 PM,1,20.2,1.8
Geophis,brachycephalus,Verrugosa,9,9,2008,2,9:09:00 PM,1,28.3,11.8
Oxybelis,brevirostris,Verrugosa,9,9,2008,2,10:02:00 PM,1,57.4,18.6
Oxybelis,brevirostris,Verrugosa,9,9,2008,2,10:12:00 PM,1,67.1,28.6
Oxybelis,brevirostris,Verrugosa,9,9,2008,2,11:-26:-59 PM,2,71.9,34.2
Imantodes,cenchoa,Verrugosa,9,9,2008,2,9:-24:-59 PM,1,47.1,6.0
Imantodes,cenchoa,Verrugosa,9,9,2008,2,9:01:00 PM,2,78.3,18.5
Dipsas,sp.,Verrugosa,9,9,2008,2,11:-5:-59 PM,1,22.7,2.4
Bothrops,asper,Verrugosa,17,10,2009,,153,0,,
Imantodes,cenchoa,Verrugosa,22,7,2011,2,,1,63.9,8.0
Clelia,equitoriana,Verrugosa,22,7,2011,2,,2,44.5,25.0
Sibon,argus,Verrugosa,6,7,2012,2,1922,0,,
Sibon,argus,Verrugosa,7,7,2012,2,1912,0,,
Sibon,argus,Verrugosa,7,7,2012,2,2155,0,,
Imantodes,cenchoa,Verrugosa,7,7,2012,2,2133,0,,
Sibon,nebulatus,Verrugosa,7,7,2012,2,2156,0,,
Dipsas,sp.,Verrugosa,19,6,2012,2,1932,0,,
Bothrops,asper,Visitor Center,6,3,2007,,10:00:00 PM,0,,
Pseutes,poecilonotus,Visitor Center,7,8,2007,,11:00:00 AM,1,112.1,435.1
Pseutes,poecilonotus,Visitor Center,18,8,2008,,,2,60.6,70.4
