Genus,Species,Transect,Day,Mo,Year,ampm,Time,SVL,Mass
Imantodes,cenchoa,Main Trail,29,12,1997,,2032,,
Clelia,clelia,Main Trail,31,12,1997,,1954,,
Imantodes,cenchoa,Main Trail,13,1,1998,,2120,,
Oxybelis,brevirostris,Guabal,14,1,1998,,2105,,
Sibon,argus,Guabal,14,1,1998,,2122,,
Sibon,argus,Guabal,14,1,1998,,,10,
Sibon,argus,Guabal,14,1,1998,,,,
Sibon,argus,Guabal,15,1,1998,,2115,,
Sibon,annulatus,Guabal,7,6,1998,,2120,100,
Sibon,argus,Guabal,7,6,1998,,,,
Sibon,argus,Guabal,7,6,1998,,,,
Sibon,argus,Guabal,7,6,1998,,,,
Imantodes,inornatus,vaLoop Stream ditch,8,6,1998,,2045,,
Sibon,argus,Main Trail,22,6,1998,,2018,,
Dendrophidion,percarinatum,Guabal,23,6,1998,,835,,
Chironius,grandisquamis,Guabal,23,6,1998,,1007,150,
Dendrophidion,percarinatum,Guabal,24,6,1998,,955,,
Dendrophidion,percarinatum,Guabal,24,6,1998,,,,
Imantodes,inornatus,Main Trail,25,6,1998,,2225,,
Sibon,argus,Loop Stream,26,6,1998,,2140,,
Sibon,argus,Guabal,23,11,1998,,2010,,
Liophis,epinephalus,Guabal,25,11,1998,,943,,
Leptophis,ahaetulla,Guabal,25,11,1998,,2105,,
Imantodes,cenchoa,Guabal,25,11,1998,,2142,,
Sibon,argus,Guabal,27,11,1998,,2030,,
Sibon,annulatus,Guabal,27,11,1998,,2105,,
Leptophis,ahaetulla,str-rancho trail,30,11,1998,,2115,,
Leptophis,depressirostris,Main Trail,7,7,1999,,2100,,
Rhadinaea,decorata,Main Trail,7,7,1999,,2125,,
Sibon,annulatus,Loop Trail,9,7,1999,2,2100,,
Rhadinaea,decorata,Loop Stream,10,7,1999,,1016,,
Leptophis,depressirostris,Loop Stream,10,7,1999,,1030,,
Sibon,argus,Guabal,11,7,1999,,1957,,
Imantodes,cenchoa,Guabal,11,7,1999,,2123,,
Sibon,argus,Guabal,11,7,1999,,2149,,
Leptodeira,septentrionalis,Main Trail,12,7,1999,,2029,,
Leptophis,depressirostris,Loop Stream,14,7,1999,2,2157,,
Rhadinaea,decorata,Loop Stream,14,7,1999,,1012,24.5,7.8
Sibon,annulatus,Loop Stream,14,7,1999,,2221,50,25
Pliocercus,euryzona,Guabal,15,7,1999,,2121,,
Sibon,annulatus,Road to OTNP,23,7,1999,,1949,43,22.3
Sibon,argus,Loop Stream,24,7,1999,,2038,46,13
Chironius,grandisquamis,Loop Trail,25,7,1999,,936,100,
Bothriechis,schlegelii,Guabal,28,7,1999,1,1155,,
Sibon,argus,Loop Stream,4,8,1999,,2132,,8
Imantodes,cenchoa,Loop Stream,4,8,1999,,2150,73,19
Leptophis,depressirostris,Loop Trail,5,8,1999,,2115,64,22.5
Imantodes,cenchoa,Main Trail,6,8,1999,2,1952,47,5.8
Sibon,argus,Guabal,18,5,2000,,2004,42.5,10.1
Rhadinaea,decorata,Main Trail,18,5,2000,,,22.5,6
Imantodes,cenchoa,Main Trail,19,5,2000,,,63,16.5
Sibon,argus,Silenciosa,20,5,2000,,2001,25.5,2.2
Rhadinaea,decorata,Seep Stream,21,5,2000,,,23,7
Rhadinaea,decorata,Connector trail,24,5,2000,,1011,16,2.1
Leptodeira,septentrionalis,Main Trail,25,5,2000,,2110,43.5,18.5
Imantodes,cenchoa,Silenciosa,27,5,2000,,2115,70,14.3
Sibon,longifrenis,Loop Trail,28,5,2000,,2049,,
Sibon,argus,Guabal,29,5,2000,,2044,40,9.5
Sibon,argus,Guabal,29,5,2000,,2152,,
Imantodes,cenchoa,Main Trail,31,5,2000,,2140,,
Sibon,argus,Loop Stream,1,6,2000,,2132,,
Sibon,argus,Silenciosa,2,6,2000,,2010,25,
Pliocercus,euryzona,Silenciosa,2,6,2000,,2037,,
Leptophis,depressirostris,Qbda JaJa,24,7,2000,,1036,38,6.1
Sibon,argus,Guabal,24,7,2000,,2124,27,2.8
Sibon,argus,Guabal,24,7,2000,,2205,38.5,10.1
Sibon,annulatus,Fenomenal,26,7,2000,,2230,,
Sibon,argus,Silenciosa,27,7,2000,,2028,,
Pliocercus,euryzona,Silenciosa,27,7,2000,,2100,,
Sibon,annulatus,Silenciosa,27,7,2000,,2121,22,
Bothrops,asper,Silenciosa,27,7,2000,,2150,,
Leptophis,depressirostris,Loop Stream,29,7,2000,2,2256,,
Rhadinaea,decorata,Qbda JaJa,29,7,2000,,1058,23,8.6
Rhadinaea,decorata,Qbda JaJa,29,7,2000,,1200,23.5,8.6
Rhadinaea,decorata,trail to JaJa,29,7,2000,,,25,10.1
Leptophis,depressirostris,Qbda JaJa,30,7,2000,,2125,30.5,4.9
Sibon,argus,Main Trail,31,7,2000,2,2052,,
Rhadinaea,decorata,Guabal,1,8,2000,1,1100,,
Imantodes,cenchoa,Verrugosa,1,8,2000,,2045,63.5,13.4
Pliocercus,euryzona,Silenciosa,2,8,2000,,2150,,
Imantodes,cenchoa,Guabal,4,8,2000,,2120,,
Sibon,argus,Guabal,4,8,2000,,2145,39.5,15.5
Imantodes,cenchoa,Loop Trail,5,8,2000,2,2022,58,12.3
Imantodes,cenchoa,Loop Trail,5,8,2000,2,2235,72,13.3
Leptophis,depressirostris,Fenomenal,6,8,2000,,2045,,
Leptophis,depressirostris,Fenomenal,6,8,2000,,2138,34.5,4
Sibon,annulatus,Fenomenal,6,8,2000,,2151,27,2.7
Leptophis,depressirostris,Loop Stream,9,8,2000,,1955,,
Sibon,argus,Loop Stream,9,8,2000,,2115,36,6.5
Rhadinaea,decorata,Qbda JaJa,10,8,2000,,1205,,
Imantodes,cenchoa,Verrugosa,10,8,2000,,2115,,
Leptophis,ahaetulla,Guabal,13,8,2000,1,,71,
Sibon,argus,Loop Stream,18,5,2001,,2050,33,11.8
Sibon,argus,Loop Stream,18,5,2001,,2253,36,14.3
Sibon,argus,Silenciosa,21,5,2001,,2100,43,14
Sibon,argus,Cascada,22,5,2001,2,2030,27,1.6
Oxybelis,brevirostris,Loop Trail,27,5,2001,,2057,33,
Imantodes,cenchoa,Loop Stream,28,5,2001,,2030,70,14.7
Sibon,argus,Loop Stream,28,5,2001,,2115,25,
Sibon,argus,Main Trail,29,5,2001,,2105,,
Sibon,argus,Silenciosa,30,5,2001,,2104,23,
Sibon,argus,Silenciosa,30,5,2001,,2110,45,
Imantodes,cenchoa,Silenciosa,30,5,2001,,2211,72,26.3
Sibon,argus,Silenciosa,30,5,2001,,2221,25,
Rhadinaea,decorata,Main Trail,1,6,2001,,948,,
Imantodes,cenchoa,Loop Trail,3,6,2001,2,2046,45,7.8
Sibon,argus,Guabal,6,6,2001,,2100,,
Sibon,argus,Guabal,6,6,2001,,2155,29.5,4.5
Oxybelis,brevirostris,Cascada,8,6,2001,,2210,,
Sibon,argus,Silenciosa,9,6,2001,,2037,23,
Sibon,argus,Silenciosa,9,6,2001,,2119,,
Sibon,longifrenis,Verrugosa,10,6,2001,,2030,45,12.3
Sibon,argus,Guabal,11,6,2001,2,2335,,
Sibon,argus,Loop Stream,12,6,2001,2,2203,37,
Oxybelis,brevirostris,Loop Trail,13,6,2001,2,2026,63,26.9
Sibon,argus,Silenciosa,14,6,2001,,2056,,
Sibon,argus,Silenciosa,14,6,2001,,2107,,
Oxybelis,brevirostris,Cascada,15,6,2001,2,2242,,
Sibon,argus,Guabal,19,6,2001,,1253,19,
Oxybelis,brevirostris,Guabal,19,6,2001,,2025,,
Sibon,argus,Guabal,19,6,2001,,2032,18,
Imantodes,cenchoa,Guabal,19,6,2001,,2056,70,18.3
Sibon,argus,Guabal,19,6,2001,,2121,41,
Sibon,argus,Guabal,19,6,2001,,2215,15,
Sibon,argus,Guabal,19,6,2001,,2239,40,
Sibon,annulatus,Loop Stream,20,6,2001,,2022,34.5,
Oxybelis,brevirostris,Loop Stream,20,6,2001,,2101,,
Imantodes,cenchoa,Loop Stream,20,6,2001,,2245,70,
Sibon,argus,Silenciosa,24,6,2001,,2016,43.5,9.4
Sibon,annulatus,Silenciosa,24,6,2001,,2041,30.5,4.7
Sibon,argus,Silenciosa,24,6,2001,,2100,24,
Oxybelis,brevirostris,Cascada,25,6,2001,,2140,,
Imantodes,cenchoa,Cascada,25,6,2001,,2145,,
Oxybelis,brevirostris,Cascada,25,6,2001,,2242,,
Oxybelis,brevirostris,Loop Stream,28,6,2001,2,2225,,
Sibon,argus,Cascada,1,7,2001,2,2123,,
Sibon,argus,Silenciosa,3,7,2001,,2040,,
Leptodeira,septentrionalis,Silenciosa,3,7,2001,,2050,16,
Sibon,argus,Silenciosa,3,7,2001,,2118,,
Sibon,argus,Silenciosa,3,7,2001,,2125,,
Sibon,argus,Loop Stream,4,7,2001,,2105,,
Sibon,argus,Silenciosa,11,7,2001,,2100,24.1,
Sibon,annulatus,Guabal,12,7,2001,,2120,20,
Imantodes,cenchoa,Cascada,13,7,2001,,2103,,
Sibon,argus,Loop Stream,15,7,2001,2,2200,25,
Sibon,argus,Main Trail,16,7,2001,,2116,27,
Sibon,argus,Main Trail,16,7,2001,,2123,38,8
Sibon,annulatus,Silenciosa,17,7,2001,,2023,25.5,
Sibon,argus,Silenciosa,17,7,2001,,2113,48,17.5
Sibon,annulatus,Main Trail,30,5,2002,,2138,25,4.6
Nothopsis,rugosus,Main Trail,30,5,2002,,2158,31,11
Sibon,argus,Silenciosa,31,5,2002,,2040,,
Oxybelis,brevirostris,Silenciosa,31,5,2002,,2047,36,4.6
Leptodeira,septentrionalis,Silenciosa,31,5,2002,,2115,37,13.2
Sibon,argus,Silenciosa,31,5,2002,,2120,29,6.2
Sibon,argus,Silenciosa,31,5,2002,,2157,35,7.7
Rhadinaea,decorata,Cascada,1,6,2002,,1116,26,11.5
Sibon,argus,Cascada,2,6,2002,2,2114,37,8
Sibon,argus,Guabal,3,6,2002,2,2140,,
Imantodes,cenchoa,Verrugosa,4,6,2002,,2100,80,18
Oxybelis,brevirostris,Verrugosa,4,6,2002,,2115,38,7
Bothriechis,schlegelii,Loop Trail,5,6,2002,2,2150,,
Rhadinaea,decorata,Rio Colorado,6,6,2002,,946,24.5,8.7
Oxybelis,brevirostris,Guabal,9,6,2002,,2018,38,
Sibon,argus,Guabal,9,6,2002,,2120,29,5.5
Sibon,argus,Guabal,9,6,2002,,2127,41,13.7
Oxybelis,brevirostris,Loop Trail,10,6,2002,,2006,66,60.2
Oxybelis,brevirostris,Loop Stream,13,6,2002,2,2138,63,27.2
Oxybelis,brevirostris,Verrugosa,14,6,2002,,2021,38.5,5.6
Rhadinaea,decorata,Silenciosa,15,6,2002,,1000,25.5,9.5
Sibon,argus,Guabal,15,6,2002,,2053,,
Sibon,argus,Guabal,15,6,2002,,2118,46,15.1
Imantodes,cenchoa,Guabal,15,6,2002,,2140,78,39.6
Imantodes,cenchoa,Silenciosa,16,6,2002,,2025,78,26.5
Sibon,argus,Cascada,17,6,2002,2,2040,,
Dipsas,sp.,Loop Trail,18,6,2002,2,2051,,
Rhadinaea,decorata,Loop Stream,20,6,2002,2,1020,24,8.5
Clelia,clelia,Verrugosa,20,6,2002,,2022,,
Geophis,hoffmanni,Verrugosa,20,6,2002,,2030,28,12.5
Imantodes,cenchoa,Verrugosa,20,6,2002,,2044,67,24.5
Rhadinaea,decorata,Main Trail,21,6,2002,,2018,21.5,8
Oxybelis,brevirostris,Guabal,22,6,2002,2,2022,,
Rhadinaea,decorata,Loop Stream,28,6,2002,,2123,26,8.5
Oxybelis,brevirostris,Loop Stream,28,6,2002,,2255,64,27.3
Sibon,argus,Loop Stream,28,6,2002,,2310,39,9.3
Clelia,clelia,Cascada,29,6,2002,2,2258,,
Rhadinaea,decorata,Silenciosa,29,6,2002,,1120,24,6.7
Oxybelis,brevirostris,Main Trail,30,6,2002,,2009,,
Leptodeira,septentrionalis,Verrugosa,2,7,2002,,2031,34,10.5
Oxybelis,brevirostris,Loop Trail,3,7,2002,,,,
Sibon,argus,Guabal,4,7,2002,,2050,42,12.5
Leptodeira,septentrionalis,Guabal,4,7,2002,,2122,21,3.5
Sibon,argus,Loop Stream,10,7,2002,2,2200,28,5.9
Leptodeira,septentrionalis,Verrugosa,11,7,2002,,2050,45,16
Leptodeira,septentrionalis,Verrugosa,11,7,2002,,2105,17,1.6
Imantodes,cenchoa,Verrugosa,11,7,2002,,2108,70,15
Oxybelis,brevirostris,Loop Trail,12,7,2002,,2058,58,
Oxybelis,brevirostris,Loop Trail,12,7,2002,,2158,74,41.5
Oxybelis,brevirostris,Loop Trail,12,7,2002,,,35,6.5
Sibon,argus,Silenciosa,13,7,2002,,2155,38,8
Oxybelis,brevirostris,Silenciosa,13,7,2002,,2214,39.5,6.9
Geophis,bellus,Cascada,19,7,2002,2,2155,,
Oxybelis,brevirostris,Loop Stream,20,7,2002,,2116,,
Oxybelis,brevirostris,Main Trail,21,7,2002,2,2027,36,
Dipsas,sp.,Verrugosa,23,7,2002,,2048,35,7.4
Imantodes,cenchoa,Verrugosa,23,7,2002,,2146,66,13
Leptodeira,septentrionalis,Loop Stream,24,7,2002,,2049,19.5,3.3
Leptodeira,septentrionalis,Loop Stream,24,7,2002,,2110,47,26
Sibon,argus,Loop Stream,24,7,2002,,2122,,
Imantodes,cenchoa,Loop Stream,24,7,2002,,2142,77,21
Oxybelis,brevirostris,Loop Stream,24,7,2002,,2250,,
Imantodes,cenchoa,Loop Stream,24,7,2002,,2252,75,26.5
Rhadinaea,decorata,Rio Colorado,25,7,2002,,1031,26,11.5
Imantodes,cenchoa,Rio Colorado,25,7,2002,,,,
Oxybelis,brevirostris,Rio Colorado,25,7,2002,,,,
Imantodes,cenchoa,Loop Trail,26,7,2002,2,2131,49,7.5
Oxybelis,brevirostris,Cascada,27,7,2002,,2208,37.5,8.5
Imantodes,cenchoa,Cascada,27,7,2002,,2222,,
Clelia,clelia,Cascada,27,7,2002,,2228,,
Sibon,argus,Cascada,27,7,2002,,2228,,
Sibon,argus,Silenciosa,28,7,2002,,2038,34,6.4
Leptodeira,septentrionalis,Silenciosa,28,7,2002,,2050,19,5.4
Sibon,argus,Silenciosa,28,7,2002,,2105,32,8.5
Sibon,argus,Silenciosa,28,7,2002,,2110,,
Dipsas,sp.,Guabal,30,7,2002,,2046,19,2
Oxybelis,brevirostris,Loop Trail,2,8,2002,,2124,,
Leptophis,depressirostris,Loop Trail,2,8,2002,,2146,,
Rhadinaea,decorata,Cascada,3,8,2002,,1048,20.5,5.7
Sibon,argus,Cascada,4,8,2002,2,2059,39,7.8
Oxybelis,brevirostris,Main Trail,5,8,2002,,2002,67,29.5
Imantodes,cenchoa,Main Trail,5,8,2002,,2022,71.5,15.5
Sibon,argus,Guabal,6,8,2002,,2006,39,12.5
Oxybelis,brevirostris,Guabal,6,8,2002,,2200,,
Sibon,argus,Silenciosa,7,8,2002,,2021,25,5.4
Imantodes,cenchoa,Loop Trail,17,5,2003,,2200,65,
Chironius,grandisquamis,Guabal,18,5,2003,2,2127,,
Sibon,argus,Cascada,20,5,2003,,2050,41,12.3
Oxybelis,brevirostris,Cascada,20,5,2003,,2137,32,
Drymobius,rhombifer,Loop Stream,21,5,2003,2,2240,,
Sibon,argus,Silenciosa,22,5,2003,,2004,21,2.5
Sibon,argus,Silenciosa,22,5,2003,,2114,27,5.6
Micrurus,multifasciatus,Silenciosa,22,5,2003,,2125,,
Rhadinaea,vermiculaticeps,Guabal,25,5,2003,1,1047,24,10.2
Imantodes,cenchoa,Cascada,25,5,2003,2,2035,79,35.1
Dipsas,sp.,Guabal,26,5,2003,,2030,28,6.4
Leptodeira,septentrionalis,Verrugosa,28,5,2003,,1023,33,10.2
Sibon,argus,Silenciosa,28,5,2003,,2037,17,
Sibon,argus,Silenciosa,28,5,2003,,2050,,
Oxybelis,brevirostris,Loop Trail,29,5,2003,,1950,,
Ninia,maculata,Main Trail,30,5,2003,,2027,30,12.2
Geophis,bellus,Main Trail,30,5,2003,,2042,,
Sibon,argus,Main Trail,30,5,2003,,2045,41,16.2
Sibon,argus,Guabal,31,5,2003,2,2008,19,
Oxybelis,brevirostris,Silenciosa,1,6,2003,,2020,33,5.3
Sibon,argus,Silenciosa,1,6,2003,,2101,28.5,4.8
Imantodes,cenchoa,Cascada,2,6,2003,,2000,79,32.8
Imantodes,cenchoa,Cascada,2,6,2003,,2305,82,28.4
Oxybelis,brevirostris,Loop Stream,3,6,2003,2,2220,36,9.4
Mastigodryas,melanolomus,Main Trail,3,6,2003,,1000,,
Dipsas,sp.,Loop Trail,4,6,2003,,2044,39,8.9
Oxybelis,brevirostris,Main Trail,5,6,2003,,2013,61,30.4
Oxybelis,brevirostris,Main Trail,5,6,2003,,2025,51,14.1
Sibon,annulatus,Main Trail,5,6,2003,,2055,41,6.4
Oxybelis,brevirostris,Main Trail,5,6,2003,,2125,64,38.1
Bothriechis,schlegelii,Main Trail,5,6,2003,,2155,,
Sibon,annulatus,Main Trail,5,6,2003,,2210,45,8.4
Sibon,annulatus,Main Trail,5,6,2003,,2240,,
Dendrophidion,nuchale,Verrugosa,6,6,2003,,2018,100,
Sibon,longifrenis,Guabal,7,6,2003,2,2155,34,8.2
Sibon,argus,Cascada,10,6,2003,2,2058,18.2,
Sibon,argus,Loop Stream,11,6,2003,,2045,40,10.8
Imantodes,cenchoa,Loop Stream,11,6,2003,,2109,71,24.3
Oxybelis,brevirostris,Loop Stream,11,6,2003,,2256,38,8.8
Sibon,argus,Loop Stream,11,6,2003,,2302,35,7.8
Sibon,argus,Silenciosa,12,6,2003,2,2130,40,14.3
Oxybelis,brevirostris,Main Trail,4,7,2003,,2139,,
Ninia,maculata,Verrugosa,5,7,2003,,2059,30.5,12.8
Geophis,bellus,Verrugosa,5,7,2003,,2102,13.5,
Sibon,argus,Cascada,7,7,2003,,1959,43.5,15.5
Oxybelis,brevirostris,Cascada,7,7,2003,,2140,37,7.4
Sibon,argus,Cascada,7,7,2003,,2140,32,7.1
Oxybelis,brevirostris,Cascada,7,7,2003,,2204,60,26.6
Sibon,argus,Main Trail,8,7,2003,,2102,37.5,8.2
Sibon,argus,Main Trail,8,7,2003,,2112,,
Sibon,argus,Loop Stream,9,7,2003,,2055,,
Sibon,argus,Loop Stream,9,7,2003,,2105,42,11.4
Dipsas,sp.,Loop Stream,9,7,2003,,2225,23.5,2.8
Sibon,argus,Loop Stream,9,7,2003,,2230,30,4.4
Oxybelis,brevirostris,Loop Stream,9,7,2003,,2242,42,9.9
Dipsas,sp.,Guabal,14,7,2003,,2007,27.5,4.8
Sibon,argus,Guabal,14,7,2003,,2150,35,9.9
Dipsas,sp.,Loop Trail,16,7,2003,,2033,44,9.9
Oxybelis,brevirostris,Loop Trail,16,7,2003,,2114,57,21.9
Imantodes,cenchoa,Loop Trail,16,7,2003,,2141,67,19.9
Rhadinaea,vermiculaticeps,Loop Trail,17,7,2003,,950,,
Rhadinaea,vermiculaticeps,Loop Trail,17,7,2003,,1000,9.5,
Sibon,argus,Loop Stream,17,7,2003,,2055,22,
Dipsas,sp.,Loop Stream,17,7,2003,,2105,,
Sibon,argus,Silenciosa,18,7,2003,,1955,33.5,6.9
Sibon,argus,Silenciosa,18,7,2003,,2000,36,8.4
Sibon,argus,Guabal,20,7,2003,,2030,39,9.8
Sibon,argus,Guabal,20,7,2003,,2145,,
Sibon,argus,Guabal,20,7,2003,,2152,44,13.3
Oxybelis,brevirostris,Main Trail,23,7,2003,,2007,67,30.4
Dipsas,sp.,Loop Trail,24,7,2003,,2048,42,9.9
Atropoides,mexicanus,Verrugosa,25,7,2003,,1035,,
Sibon,annulatus,Verrugosa,26,7,2003,,2138,41,7.4
Rhadinaea,vermiculaticeps,Loop Stream,27,7,2003,,925,19,6.4
Imantodes,cenchoa,Main Trail,27,7,2003,,2055,57.5,12.4
Imantodes,cenchoa,Main Trail,27,7,2003,,2122,61,9.9
Oxybelis,brevirostris,Loop Trail,29,7,2003,,2045,44,11.8
Sibon,argus,Guabal,30,7,2003,,2100,20,
Chironius,grandisquamis,Guabal,30,7,2003,,2110,,
Micrurus,stewarti,Guabal,30,7,2003,,2122,,
Sibon,argus,Guabal,30,7,2003,,2135,32,9.5
Imantodes,cenchoa,Loop Stream,31,7,2003,,2135,75,
Oxybelis,brevirostris,Loop Stream,31,7,2003,,2145,60,22.3
Dipsas,sp.,Main Trail,1,8,2003,,2017,48,14.8
Imantodes,cenchoa,Main Trail,1,8,2003,,,74,17.8
Oxybelis,brevirostris,Main Trail,1,8,2003,,,40,
Chironius,grandisquamis,Silenciosa,2,8,2003,,2021,,
Sibon,argus,Loop Stream,26,9,2003,,2204,20,3
Oxybelis,brevirostris,Loop Stream,26,9,2003,,2318,10,10
