Genus,Species,Transect,Day,Mo,Year,ampm,Time,SVL,Mass
Dipsas,sp.,Main Trail,24,7,2007,,,43.2,17.7
Dipsas,sp.,Trail to Pond,24,7,2007,,,52.4,14.6
Leptodeira,septentrionalis,Loop Stream Strangler,24,7,2007,,,56.8,31.2
Sibon,argus,Pond,25,7,2007,,,40.4,16.3
Sibon,argus,Pond,25,7,2007,,,43.3,10.1
Dipsas,sp.,Rocky Road,26,7,2007,,10:11:00 PM,43.9,16
Dipsas,sp.,Rocky Road,26,7,2007,,8:-8:-59 PM,48.1,13.9
Oxybelis,brevirostris,Rocky Road,26,7,2007,,9:-29:-59 PM,62.6,21.9
Sibon,nebulatus,Silenciosa,29,7,2007,2,8:23:00 PM,46.5,23
Imantodes,cenchoa,Cutoff,29,7,2007,,8:04:00 PM,73.9,14.6
Oxybelis,brevirostris,TADS,29,7,2007,,8:16:00 PM,63.2,24.9
Leptodeira,septentrionalis,Pond,29,7,2007,,9:03:00 PM,43.8,19.4
Sibon,argus,Pond,29,7,2007,,9:08:00 PM,46.9,19.6
Dipsas,sp.,Mason's Trib,29,7,2007,,9:-18:-59 PM,48.6,13.5
Imantodes,inornatus,Pond,29,7,2007,,9:-5:-59 PM,59.9,19
Sibon,argus,Main Trail,30,7,2007,2,8:-9:-59 PM,40.7,10.8
Oxybelis,brevirostris,Main Trail,30,7,2007,,8:05:00 PM,63.7,21.4
Dipsas,sp.,Main Trail,30,7,2007,,8:24:00 PM,41,9.4
Oxybelis,brevirostris,Loop Stream,30,7,2007,,9:-6:-59 PM,63.4,20.6
Sibon,annulatus,Silenciosa,3,8,2007,2,9:-2:-59 PM,37,6.4
Dipsas,sp.,Silenciosa,3,8,2007,,9:05:00 PM,37.3,5.3
Sibon,argus,Loop Stream,4,8,2007,2,8:26:00 PM,41.7,10.7
Imantodes,cenchoa,Cutoff,4,8,2007,,8:11:00 PM,65.6,16.5
Bothriechis,schlegelii,Loop Stream,4,8,2007,,8:26:00 PM,37,13.1
Dipsas,sp.,Rocky Road,4,8,2007,,10:17:00 PM,16.3,1.1
Dipsas,sp.,Main Trail,4,8,2007,,8:-21:-59 PM,32.2,4.1
Dipsas,sp.,Verrugosa,4,8,2007,,9:-16:-59 PM,20.2,1.8
Sibon,argus,Guabal,6,8,2007,2,9:07:00 PM,32.2,5.1
Bothriechis,schlegelii,Rocky Road,6,8,2007,,10:-7:-59 PM,22,4.2
Pseutes,poecilonotus,Visitor Center,7,8,2007,,11:00:00 AM,112.1,435.1
Ninia,maculata,Road to OTNP,7,8,2007,,12:00:00 PM,,
Imantodes,inornatus,Guabal,12,8,2007,,8:09:00 PM,63.3,15.2
Oxybelis,brevirostris,Cutoff,12,8,2007,,10:17:00 PM,27.8,2.8
Sibon,annulatus,TADS,12,8,2007,,10:-16:-59 PM,34.6,6
Sibon,annulatus,Guabal,12,8,2007,,10:-29:-59 PM,35.4,5.4
Oxybelis,brevirostris,Main Trail,12,8,2007,,11:-11:-59 PM,63.7,21.8
Leptodeira,septentrionalis,Main Trail,12,8,2007,,11:-22:-59 PM,50,22
Imantodes,cenchoa,Rocky Road,12,8,2007,,8:-16:-59 PM,64.6,11
Oxybelis,brevirostris,Rocky Road,12,8,2007,,8:-20:-59 PM,66.3,24.5
Sibon,argus,Loop Stream,13,8,2007,2,10:-5:-59 PM,34.4,4.6
Sibon,annulatus,Guabal,13,8,2007,,10:-29:-59 PM,34.2,4
Oxybelis,brevirostris,Main Trail,13,8,2007,,9:-22:-59 PM,23.6,2
Oxybelis,brevirostris,Road to OTNP,13,8,2007,,,63.6,22.4
Sibon,annulatus,Silenciosa,14,8,2007,2,9:25:00 PM,25.7,2.5
Leptodeira,septentrionalis,Pond,14,8,2007,,9:-1:-59 PM,48.7,29.2
Leptodeira,septentrionalis,Pond,14,8,2007,,9:-15:-59 PM,60.3,37.8
Sibon,nebulatus,Main Trail,15,8,2007,2,10:22:00 PM,,
Imantodes,cenchoa,Rocky Road,15,8,2007,,8:08:00 PM,64.6,11
Sibon,annulatus,Trail to Cascada,15,8,2007,,10:-29:-59 PM,41.4,
Oxybelis,brevirostris,Rocky Road,16,8,2007,,8:01:00 PM,66.8,24.6
Oxybelis,brevirostris,Trail to Guabal,16,8,2007,,9:05:00 PM,58.3,20.9
Imantodes,cenchoa,Trail to Guabal,16,8,2007,,9:16:00 PM,58.2,8.9
Oxybelis,brevirostris,Rocky Road,16,8,2007,,8:-7:-59 PM,69.9,33.5
Dipsas,sp.,Main Trail,18,8,2007,,8:-3:-59 PM,30.7,4
Dipsas,sp.,Main Trail,18,8,2007,,9:-19:-59 PM,21.1,2.2
Sibon,annulatus,Main Trail,19,8,2007,2,9:-7:-59 PM,29.3,2.4
Bothrops,asper,Guabal,19,8,2007,,10:-14:-59 PM,,
Oxybelis,brevirostris,Shortcut,19,8,2007,,10:-28:-59 PM,58.2,17
Oxybelis,brevirostris,Trail to TADS,19,8,2007,,21;17,62.8,22.2
Dipsas,sp.,Loop Trail,19,8,2007,,,44.1,11.9
Dipsas,sp.,Main Trail,19,8,2007,,,44,15.9
Sibon,argus,Loop Stream,22,8,2007,2,,36.8,9.4
Chironius,grandisquamis,Main Trail,22,8,2007,,,94.5,205
Oxybelis,brevirostris,Loop Stream,22,8,2007,,,59.1,15.9
Dipsas,sp.,Loop Trail,10,11,2007,,,25.2,3.1
Dipsas,sp.,Main Trail,10,11,2007,,,34,5.2
Rhinobothrium,bovallii,Main Trail,10,11,2007,,,104.9,105.9
Dipsas,sp.,Rocky Road,11,11,2007,,,50.3,14
Dipsas,sp.,Rocky Road,11,11,2007,,,46.5,11.8
Imantodes,cenchoa,Main Trail,18,11,2007,2,,81.2,25.2
Dipsas,sp.,Cutoff,18,11,2007,,,23.3,2.3
Dipsas,sp.,Cutoff,18,11,2007,,,20.9,2.4
Dipsas,sp.,Rocky Road,18,11,2007,,,39.8,13.9
Sibon,annulatus,Sen Abe,18,11,2007,,,40.3,6.8
Dipsas,sp.,Trail to Guabal,22,11,2007,,,,
Dipsas,sp.,Trail to Guabal,22,11,2007,,,,
Dipsas,sp.,Trail to TADS,22,11,2007,,,,
Bothriechis,schlegelii,Main Trail,27,11,2007,2,,,
Oxybelis,brevirostris,Main Trail,27,11,2007,2,,,
Oxybelis,brevirostris,Road to OTNP,,,2007,,,69,36
Dipsas,sp.,Main Trail,21,5,2008,2,8:18:00 PM,44.1,12.5
Oxybelis,brevirostris,Main Trail,27,5,2008,2,,,
Sibon,annulatus,Main Trail,29,5,2008,2,,37.7,5.1
Dipsas,sp.,Sen Abe,2,6,2008,,,50.6,14.7
Dipsas,sp.,Loop Trail,3,6,2008,2,9:17:00 PM,27.8,3.6
Dipsas,sp.,Loop Stream,3,6,2008,2,8:-8:-59 PM,44.6,18
Dipsas,sp.,Rocky Road,3,6,2008,,10:-5:-59 PM,39.6,12.3
Sibon,annulatus,Silenciosa,8,6,2008,2,9:09:00 PM,37.1,6.4
Oxybelis,brevirostris,Silenciosa,8,6,2008,2,9:28:00 PM,41,6.1
Imantodes,cenchoa,Silenciosa,8,6,2008,2,9:-18:-59 PM,70,14.4
Sibon,annulatus,Silenciosa,8,6,2008,2,9:-4:-59 PM,37.6,7.3
Dipsas,sp.,Rocky Road,8,6,2008,,10:21:00 PM,41.4,10.1
Sibon,argus,Cutoff,8,6,2008,,9:-25:-59 PM,44.2,9.9
Dipsas,sp.,Loop Stream,10,6,2008,2,10:-17:-59 PM,39.9,15.3
Sibon,nebulatus,Road to OTNP,10,6,2008,,11:07:00 PM,44.1,17.9
Chironius,exoletus,Road to OTNP,12,6,2008,,,93.6,102.3
Sibon,annulatus,Guabal,16,6,2008,2,8:21:00 PM,28,2.6
Dipsas,sp.,Main Trail,18,6,2008,2,8:27:00 PM,35.4,6.5
Dipsas,sp.,Loop Stream,18,6,2008,2,9:18:00 PM,19.9,1.3
Dipsas,sp.,Main Trail,20,6,2008,2,8:18:00 PM,32.9,5.9
Sibon,annulatus,Main Trail,20,6,2008,2,8:29:00 PM,35.3,5.7
Dipsas,sp.,Silenciosa,24,6,2008,2,11:13:00 PM,26.5,4
Sibon,annulatus,Silenciosa,24,6,2008,2,11:16:00 PM,36.9,10.3
Leptodeira,septentrionalis,Pond,25,6,2008,,10:-15:-59 PM,50.6,27.4
Sibon,argus,Pond,25,6,2008,,10:-15:-59 PM,,
Leptodeira,septentrionalis,Pond,25,6,2008,,10:-22:-59 PM,56.1,24.3
Oxybelis,brevirostris,Main Trail,28,6,2008,2,8:05:00 PM,75.2,32.2
Sibon,annulatus,Main Trail,28,6,2008,2,8:-11:-59 PM,,
Dipsas,sp.,Main Trail,28,6,2008,2,9:-29:-59 PM,40.1,10.3
Erytholamprus,sp.,Loop Trail,8,7,2008,,,66.9,54.6
Oxybelis,brevirostris,Road to OTNP,8,7,2008,,,56.9,18.7
Oxybelis,brevirostris,Road to OTNP,8,7,2008,,,72.2,41.5
Sibon,nebulatus,Loop Stream,17,7,2008,2,9:18:00 PM,47.1,21.7
Sibon,argus,Cutoff,19,7,2008,,11:17:00 PM,38.7,9.4
Oxybelis,brevirostris,Mason's Trib,19,7,2008,,11:-15:-59 PM,72.1,28.2
Micrurus,stewarti,Main Trail,28,7,2008,2,8:10:00 PM,,
Dipsas,sp.,Loop Stream,28,7,2008,2,10:-21:-59 PM,20.8,1.6
Dipsas,sp.,Loop Stream,29,7,2008,,10:-20:-59 PM,22,1.6
Dipsas,sp.,Rocky Road,1,8,2008,,10:02:00 PM,44.6,18.4
Oxybelis,brevirostris,Rocky Road,1,8,2008,,10:14:00 PM,70.4,30.7
Dipsas,sp.,Main Trail,5,8,2008,2,,32.3,4.7
Dipsas,sp.,Main Trail,5,8,2008,2,,39.9,12.9
Dipsas,sp.,Main Trail,5,8,2008,2,,18.7,1.5
Leptodeira,septentrionalis,Road to OTNP,5,8,2008,,,48.5,23.8
Imantodes,cenchoa,Main Trail,16,8,2008,2,10:09:00 PM,68.4,12.4
Sibon,annulatus,Cutoff,16,8,2008,,9:01:00 PM,39.9,5.4
Clelia,clelia,Cutoff,16,8,2008,,9:20:00 PM,,
Sibon,annulatus,Cutoff,16,8,2008,,10:-17:-59 PM,34.1,4.2
Sibon,annulatus,Main Trail,17,8,2008,2,8:15:00 PM,23.2,1.7
Imantodes,cenchoa,Loop Trail,17,8,2008,2,9:26:00 PM,66.9,16.5
Imantodes,cenchoa,Main Trail,17,8,2008,2,8:-6:-59 PM,82.6,43.9
Oxybelis,brevirostris,Main Trail,17,8,2008,2,9:-17:-59 PM,68.7,31.9
Pseutes,poecilonotus,Visitor Center,18,8,2008,,,60.6,70.4
Sibon,argus,Guabal,20,8,2008,2,8:00:00 PM,43.4,12.3
Imantodes,cenchoa,Guabal,20,8,2008,2,9:04:00 PM,79.6,21.8
Imantodes,cenchoa,Guabal,20,8,2008,2,9:-22:-59 PM,68.6,15.2
Sibon,argus,Guabal,20,8,2008,2,9:-9:-59 PM,41.4,10.5
Leptodeira,septentrionalis,Road to OTNP,20,8,2008,,10:-8:-59 PM,52.1,26
Sibon,argus,Cascada,22,8,2008,2,9:-22:-59 PM,43.7,8.3
Dipsas,sp.,Rocky Road,22,8,2008,,7:13:00 PM,44.6,17.4
Oxybelis,brevirostris,Trail to Guabal,22,8,2008,,9:21:00 PM,81.1,21.1
Oxybelis,brevirostris,Main Trail,23,8,2008,2,8:07:00 PM,75.2,31.8
Sibon,annulatus,Main Trail,23,8,2008,2,8:20:00 PM,23.2,1.7
Sibon,argus,Pond,25,8,2008,,8:06:00 PM,38.2,12.3
Sibon,annulatus,Cutoff,25,8,2008,,9:28:00 PM,34.6,4.1
Sibon,annulatus,Guabal,26,8,2008,2,9:03:00 PM,28.5,2.2
Sibon,annulatus,Trail to TADS,26,8,2008,,8:05:00 PM,34.2,4.4
Oxybelis,brevirostris,Rocky Road,26,8,2008,,8:-17:-59 PM,70.4,31.7
Dipsas,sp.,Rocky Road,26,8,2008,,8:-4:-59 PM,40.3,11.2
Dipsas,sp.,Main Trail,4,9,2008,2,8:23:00 PM,39.9,11.9
Imantodes,cenchoa,Main Trail,4,9,2008,2,9:09:00 PM,67.3,16.6
Leptodeira,septentrionalis,Rocky Road,4,9,2008,,12:20:00 PM,53.6,29.5
Oxybelis,brevirostris,Rocky Road,6,9,2008,,10:00:00 PM,70.4,30.7
Dipsas,sp.,Rocky Road,6,9,2008,,10:01:00 PM,,11
Oxybelis,brevirostris,Trail to TADS,6,9,2008,,10:-10:-59 PM,66.9,28.6
Sibon,annulatus,TADS,6,9,2008,,10:-27:-59 PM,36,5
Imantodes,cenchoa,Main Trail,9,9,2008,2,7:23:00 PM,70.1,13.9
Imantodes,cenchoa,Verrugosa,9,9,2008,2,9:01:00 PM,78.3,18.5
Geophis,brachycephalus,Verrugosa,9,9,2008,2,9:09:00 PM,28.3,11.8
Oxybelis,brevirostris,Verrugosa,9,9,2008,2,10:02:00 PM,57.4,18.6
Oxybelis,brevirostris,Verrugosa,9,9,2008,2,10:12:00 PM,67.1,28.6
Oxybelis,brevirostris,Verrugosa,9,9,2008,2,11:-26:-59 PM,71.9,34.2
Dipsas,sp.,Verrugosa,9,9,2008,2,11:-5:-59 PM,22.7,2.4
Imantodes,cenchoa,Verrugosa,9,9,2008,2,9:-24:-59 PM,47.1,6
Oxybelis,brevirostris,Loop Trail,17,9,2008,2,9:-17:-59 PM,67.5,28.1
Imantodes,cenchoa,Cutoff,21,9,2008,,9:13:00 PM,69.8,15.6
Dipsas,sp.,Rocky Road,21,9,2008,,10:-19:-59 PM,,
Oxybelis,brevirostris,Road to OTNP,28,9,2008,,,,
Oxybelis,brevirostris,Road to OTNP,28,9,2008,,,59.2,20.1
Dipsas,sp.,Main Trail,29,9,2008,2,8:12:00 PM,21.9,2.1
Sibon,nebulatus,Main Trail,29,9,2008,2,9:-11:-59 PM,,
Dipsas,sp.,Rocky Road,29,9,2008,,10:-13:-59 PM,51.2,17.3
Dipsas,sp.,Rocky Road,29,9,2008,,10:-13:-59 PM,44.6,17.4
Dipsas,sp.,Rocky Road,29,9,2008,,10:-6:-59 PM,43.1,17.3
Sibon,annulatus,Cutoff,8,6,2009,,8:28:00 PM,40.4,7.3
Imantodes,cenchoa,Cutoff,21,9,2009,,9:21:00 PM,65.9,12.7
Mastigodryas,melanolomus,Main Trail,14,10,2009,,303,,
Oxybelis,brevirostris,Trail to Pond,14,10,2009,,2138,,
Bothrops,asper,Verrugosa,17,10,2009,,153,,
Leptodeira,septentrionalis,Loop Trail,17,10,2009,,2011,,
Clelia,equitoriana,Road to OTNP,22,12,2009,,,,
Imantodes,cenchoa,Main Trail,22,12,2009,,,,
Oxybelis,brevirostris,Rocky Road,22,12,2009,,,,
Rhinobothrium,bovallii,Main Trail,22,12,2009,,,60,28.4
Dipsas,sp.,Main Trail,20,2,2010,,,68.6,27
Dipsas,sp.,Rocky Road,20,2,2010,,,36.2,8
Dipsas,sp.,Shortcut,20,2,2010,,,46.1,20.3
Dipsas,sp.,TADS,20,2,2010,,,35.9,8.4
Chironius,grandisquamis,Silenciosa,11,7,2010,1,1140,,
Sibon,argus,Guabal,13,7,2010,2,2055,,4.5
Sibon,argus,Loop Stream,14,7,2010,2,2038,43,16
Sibon,argus,Loop Stream,17,7,2010,2,2055,31,4.5
Leptodeira,septentrionalis,Loop Stream,17,7,2010,2,2245,,
Dipsas,sp.,Rocky Road,18,4,2011,,2159,42.2,18.5
Dipsas,sp.,Rocky Road,18,4,2011,,2159,41.2,9.5
Dipsas,sp.,Rocky Road,18,4,2011,,2212,40.9,18.5
Dipsas,sp.,Rocky Road,18,4,2011,,2220,19.3,1.5
Sibon,annulatus,Rocky Road,18,4,2011,,2225,23,3.5
Dipsas,sp.,Main Trail,23,4,2011,2,2015,33.3,7.5
Oxybelis,brevirostris,Main Trail,23,4,2011,2,2039,49.1,9
Dipsas,sp.,Rocky Road,23,4,2011,,1936,18.2,1.5
Oxybelis,brevirostris,Main Trail,3,5,2011,2,1930,48,10
Dipsas,sp.,Main Trail,3,5,2011,2,2044,10.4,2
Sibon,annulatus,Main Trail,8,5,2011,2,1850,37.2,6
Dipsas,sp.,Main Trail,8,5,2011,2,1853,19.2,1.2
Dipsas,sp.,Main Trail,10,5,2011,2,2041,32.2,6.5
Dipsas,sp.,Main Trail,10,5,2011,2,2100,19.3,1.5
Dipsas,sp.,Main Trail,10,5,2011,2,2111,25.1,3
Dipsas,sp.,Main Trail,10,5,2011,2,2132,40,12
Dipsas,sp.,Sen Abe,20,6,2011,,,,
Dipsas,sp.,Loop Stream,13,7,2011,2,2019,49,17
Imantodes,cenchoa,Loop Stream,13,7,2011,2,2032,34.2,11
Sibon,argus,Loop Stream,13,7,2011,2,2054,34.2,5
Sibon,argus,Loop Stream,14,7,2011,2,2100,38.8,5
Sibon,annulatus,Main Trail,14,7,2011,2,2311,32.6,4
Sibon,argus,Loop Stream,15,7,2011,2,2102,20.6,8
Sibon,argus,Silenciosa,16,7,2011,2,2158,33.6,5.3
Sibon,argus,Guabal,17,7,2011,2,2024,46.2,14.8
Sibon,argus,Silenciosa,17,7,2011,2,2137,37.3,6.5
Sibon,argus,Guabal,18,7,2011,2,2042,45.6,17
Sibon,argus,Silenciosa,18,7,2011,2,2200,39.1,6.9
Oxyrhopus,petolarius,Cascada,18,7,2011,2,,50.9,33.5
Clelia,equitoriana,Verrugosa,22,7,2011,2,,44.5,25
Imantodes,cenchoa,Verrugosa,22,7,2011,2,,63.9,8
Dipsas,sp.,Rocky Road,29,7,2011,,,,
Dipsas,sp.,Rocky Road,29,7,2011,,,,
Imantodes,cenchoa,Rocky Road,29,7,2011,,,,
Oxybelis,brevirostris,Loop Trail,7,8,2011,,,66.1,28
Sibon,argus,Rocky Road,7,8,2011,,,36.6,7
Bothriechis,schlegelii,Main Trail,11,1,2012,,,19.5,
Dipsas,sp.,Rocky Road,11,1,2012,,,19.5,3.5
Oxybelis,brevirostris,Main Trail,11,1,2012,,,84.2,23.5
Dipsas,sp.,Main Trail,13,1,2012,2,2008,20.7,3.6
Imantodes,cenchoa,Main Trail,13,1,2012,2,2100,79.1,27.5
Oxybelis,brevirostris,Main Trail,13,1,2012,2,2110,27,4.5
Dipsas,sp.,Rocky Road,13,1,2012,,1907,36.2,11
Oxybelis,brevirostris,Main Trail,17,1,2012,2,2021,26.8,4.3
Dipsas,sp.,Main Trail,17,1,2012,2,2047,43.6,20
Oxybelis,brevirostris,Main Trail,17,1,2012,2,2104,25.4,4.1
Sibon,nebulatus,Main Trail,17,1,2012,2,2125,31.1,9.5
Dipsas,sp.,Sen Abe,17,1,2012,,2150,50.2,14.5
Imantodes,cenchoa,Rocky Road,17,1,2012,,2155,95.1,49.5
Bothriechis,schlegelii,Rocky Road,17,1,2012,,2231,,
Sibon,argus,Main Trail,30,1,2012,2,1948,39.8,14.5
Oxybelis,brevirostris,Main Trail,30,1,2012,2,1955,55.8,19
Imantodes,cenchoa,Loop Trail,30,1,2012,2,2133,56.2,11.5
Imantodes,cenchoa,Rocky Road,30,1,2012,,1925,74.7,15
Leptodeira,septentrionalis,Main Trail,5,2,2012,2,1927,52.8,31.5
Imantodes,cenchoa,Loop Trail,13,2,2012,2,2137,60.6,12.5
Oxybelis,brevirostris,Trail to Visitor Center,13,2,2012,,2140,,
Dipsas,sp.,Main Trail,27,2,2012,2,,46.5,13.5
Dipsas,sp.,Rocky Road,27,2,2012,,,24.7,3.5
Dipsas,sp.,Rocky Road,28,2,2012,,,47.1,13
Imantodes,cenchoa,Rocky Road,28,2,2012,,,95.2,50
Dipsas,sp.,Main Trail,6,3,2012,2,,,
Dipsas,sp.,Rocky Road,6,3,2012,,,,
Dipsas,sp.,Guabal,3,6,2012,2,2133,,
Imantodes,cenchoa,Guabal,3,6,2012,2,2137,40.4,3.8
Dipsas,sp.,Silenciosa,3,6,2012,2,,,
Sibon,argus,Silenciosa,3,6,2012,2,,,
Oxybelis,brevirostris,Guabal,4,6,2012,2,950,31.2,4.6
Sibon,annulatus,Silenciosa,4,6,2012,2,1941,23.4,2.3
Sibon,argus,Cascada,8,6,2012,2,2103,39,6.4
Dipsas,sp.,Cascada,8,6,2012,2,2119,26,2.1
Oxybelis,brevirostris,Loop Stream,9,6,2012,2,2035,29.3,2.4
Sibon,annulatus,Loop Stream,9,6,2012,2,2227,26,3.3
Sibon,argus,Loop Stream,9,6,2012,2,2245,39,6.8
Bothriechis,schlegelii,Loop Stream,10,6,2012,,1943,,
Bothriechis,schlegelii,Loop Stream,13,6,2012,2,1926,,
Dipsas,sp.,Main Trail,14,6,2012,2,2227,,
Bothriechis,schlegelii,Main Trail,16,6,2012,2,1100,,
Imantodes,cenchoa,Main Trail,16,6,2012,2,1920,,
Bothriechis,schlegelii,Main Trail,16,6,2012,2,1952,,
Bothriechis,schlegelii,Loop Stream,18,6,2012,1,1040,,
Dipsas,sp.,Verrugosa,19,6,2012,2,1932,,
Imantodes,cenchoa,Silenciosa,24,6,2012,2,1940,,
Dipsas,sp.,Silenciosa,24,6,2012,2,2006,,
Dipsas,sp.,Silenciosa,26,6,2012,2,2150,,
Bothriechis,schlegelii,Loop Stream,27,6,2012,2,2051,,
Bothriechis,schlegelii,Loop Stream,28,6,2012,2,2051,,
Bothriechis,schlegelii,Loop Stream,29,6,2012,2,1917,,
Imantodes,cenchoa,Loop Stream,29,6,2012,2,2011,,
Dipsas,sp.,Loop Trail,3,7,2012,,2153,,
Rhinobothrium,bovallii,Loop Trail,4,7,2012,1,2111,,
Sibon,argus,Verrugosa,6,7,2012,2,1922,,
Sibon,argus,Verrugosa,7,7,2012,2,1912,,
Imantodes,cenchoa,Verrugosa,7,7,2012,2,2133,,
Sibon,argus,Verrugosa,7,7,2012,2,2155,,
Sibon,nebulatus,Verrugosa,7,7,2012,2,2156,,
Sibon,argus,Cascada,11,7,2012,2,2057,,
Imantodes,cenchoa,MainTrail,14,7,2012,,2258,64.3,16
Geophis,brachycephalus,Silenciosa,15,7,2012,2,1923,238,
Sibon,argus,Silenciosa,15,7,2012,2,1956,,
Sibon,argus,Guabal,16,7,2012,2,2024,,
Dipsas,sp.,Main Trail,22,7,2012,2,2116,,1.3
